Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Josh Giddey,PG,54,32.1,5.9,13.3,0.448,1.9,5.2,0.364,4,8,0.502,0.52,3.2,4.2,0.763,1.2,7.1,8.3,9.1,1,0.5,3.6,1.7,17
Nikola Vu?evi?,C,48,30.8,6.9,13.8,0.505,1.7,4.5,0.376,5.2,9.2,0.568,0.567,1.3,1.5,0.838,2.1,6.9,9,3.8,0.7,0.6,1.4,2,16.9
Matas Buzelis,PF,77,29.2,5.8,12.5,0.463,2.2,6.4,0.349,3.5,6.1,0.583,0.553,2.4,3.1,0.786,1,4.8,5.8,2.1,0.7,1.5,2.1,2.3,16.3
Coby White,SG,29,29.1,5.9,13.6,0.438,2.5,7.2,0.346,3.4,6.4,0.541,0.529,4.3,5.3,0.805,0.2,3.5,3.7,4.7,0.7,0.1,3,2.4,18.6
Jaden Ivey,SG,4,28.8,3.8,9,0.417,2,5.3,0.381,1.8,3.8,0.467,0.528,2,2.3,0.889,1.3,3.5,4.8,4,2,0.5,1.5,2.3,11.5
Anfernee Simons,SG,6,28.3,5.8,13.3,0.438,2.7,8.3,0.32,3.2,5,0.633,0.538,0.8,0.8,1,0.8,2,2.8,3,0,0.3,2.2,2,15.2
Tre Jones,PG,65,27,5.2,9.5,0.553,0.6,2,0.315,4.6,7.5,0.616,0.586,2.9,3.5,0.841,0.6,2.6,3.1,5.4,1.2,0.2,1.4,1.4,14.1
Isaac Okoro,SG,63,26.9,3.3,7.3,0.46,1.2,3.5,0.33,2.2,3.8,0.58,0.539,1.4,1.8,0.795,1.1,1.7,2.7,1.6,0.7,0.5,0.7,2.6,9.3
Ayo Dosunmu,SG,45,26.4,5.6,10.8,0.514,1.9,4.3,0.451,3.6,6.5,0.556,0.604,2,2.3,0.857,0.7,2.3,3,3.6,0.8,0.3,1.4,1.7,15
Collin Sexton,SG,26,26,6.1,12.6,0.482,2.1,5.2,0.41,4,7.5,0.531,0.566,3.2,3.9,0.822,0.9,2,2.9,2.5,1.5,0.1,2,2.7,17.5
Guerschon Yabusele,C,26,24.7,3.2,7.9,0.405,1.9,4.9,0.383,1.3,3,0.442,0.524,1.8,2.3,0.767,1.2,4.4,5.7,1.7,0.8,0.4,1,1.7,10
Kevin Huerter,SF,44,23.6,4.2,9.2,0.455,1.6,5.1,0.314,2.6,4.1,0.63,0.542,0.9,1.3,0.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9
Leonard Miller,SF,27,23.1,4.7,8.5,0.555,1.1,3.2,0.356,3.6,5.3,0.676,0.622,1.2,1.6,0.762,1.7,4,5.8,1.3,0.5,0.6,1,2,11.7
Mouhamadou Gueye,PF,2,22.5,3,5.5,0.545,0.5,2.5,0.2,2.5,3,0.833,0.591,1.5,2,0.75,1,2,3,3,1,0.5,1.5,2,8
Nick Richards,C,20,22.4,3.4,6.5,0.523,0.3,0.9,0.278,3.2,5.6,0.563,0.542,2.3,3.7,0.63,2.1,5.5,7.6,0.4,0.3,0.9,1.7,2.5,9.4
Rob Dillingham,PG,30,21.5,3.9,9,0.428,1,3.3,0.3,2.9,5.7,0.503,0.483,0.9,1.2,0.743,0.5,2.5,3,2.8,0.9,0.1,2.1,2.6,9.6
