Player,Salary,Points,Rebounds,Assists,Steals,Blocks,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TOV,PF,PER,WS,PPG,RPG,APG,SPG,BPG
J. Tatum,34.8,1987,601,364,75,43,672,1426,0.471,229,609,0.376,443,817,0.542,0.552,414,497,0.833,188,145,25.1,10.4,26.9,8.1,4.9,1,0.6
J. Brown,49.4,1610,387,249,83,37,627,1256,0.499,145,410,0.354,482,846,0.57,0.557,211,300,0.703,166,185,21.2,5.9,23,5.5,3.6,1.2,0.5
K. Porzingis,29,1145,409,115,42,111,388,752,0.516,110,293,0.375,278,459,0.606,0.589,259,302,0.858,89,156,22.3,7.9,20.1,7.2,2,0.7,1.9
D. White,19.3,1107,310,377,74,87,387,839,0.461,196,495,0.396,191,344,0.555,0.578,137,152,0.901,112,152,17.5,8.5,15.2,4.2,5.2,1,1.2
J. Holiday,30,860,373,333,61,53,331,689,0.48,138,322,0.429,193,367,0.526,0.581,60,72,0.833,124,108,17.8,6.3,12.5,5.4,4.8,0.9,0.8
S. Hauser,2.1,712,276,82,40,25,249,558,0.446,197,465,0.424,52,93,0.559,0.623,17,19,0.895,32,99,10.7,4.9,9,3.5,1,0.5,0.3
P. Pritchard,6.7,787,265,281,39,6,297,635,0.468,147,382,0.385,150,253,0.593,0.583,46,56,0.821,61,106,11.8,6.1,9.6,3.2,3.4,0.5,0.1
A. Horford,9.5,562,413,168,38,62,214,419,0.511,108,258,0.419,106,161,0.658,0.64,26,30,0.867,48,93,13.1,6.2,8.6,6.4,2.6,0.6,1
X. Tillman,1.9,80,54,20,9,9,34,66,0.515,8,28,0.286,26,38,0.685,0.576,4,7,0.571,5,15,12.2,1.4,4,2.7,1,0.5,0.5
L. Kornet,2.1,334,261,67,23,61,142,203,0.7,1,1,1,141,202,0.698,0.702,49,54,0.907,21,77,12.4,5.1,5.3,4.1,1.1,0.4,1
J. Walsh,1.7,15,20,5,5,1,6,15,0.4,2,9,0.222,4,6,0.667,0.467,1,2,0.5,3,11,8.7,0.2,1.7,2.2,0.6,0.6,0.1
N. Queta,1.7,154,122,20,13,21,67,104,0.644,0,0,0,67,104,0.644,0.644,20,28,0.714,13,50,12.1,1.8,5.5,4.4,0.7,0.5,0.8
J. Springer,4,35,20,9,11,4,13,30,0.433,2,11,0.182,11,19,0.579,0.467,7,8,0.875,8,17,10.7,0.6,2.1,1.2,0.5,0.6,0.2
O. Brissett,1.9,201,160,44,19,8,68,153,0.444,15,55,0.273,53,98,0.541,0.493,50,83,0.602,20,54,9.3,1.7,3.7,2.9,0.8,0.3,0.1
L. Stevens,2.5,53,31,8,6,5,21,45,0.467,3,8,0.375,18,37,0.486,0.5,8,11,0.727,9,14,14.6,0.8,2.8,1.6,0.4,0.3,0.3
S. Mykhailiuk,2.3,162,51,35,11,1,57,137,0.416,42,108,0.389,15,29,0.517,0.569,6,9,0.667,12,19,11.7,0.9,4,1.2,0.9,0.3,0
J. Davidson,0.6,16,10,10,1,1,5,12,0.417,3,7,0.429,2,5,0.4,0.542,3,4,0.75,2,4,6.4,0.2,2,1.3,1.3,0.1,0.1
D. Banton,1.9,56,35,19,5,3,19,51,0.373,2,16,0.125,17,35,0.486,0.392,16,20,0.8,10,20,13.3,0.5,2.3,1.5,0.8,0.2,0.1
