Player,Salary,Points,Rebounds,Assists,Steals,Blocks,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PER,WS,PPG,RPG,APG,SPG,BPG,eFG%
N. Jokic,33,1690,817,678,87,47,646,1022,0.632,57,149,0.383,589,873,0.675,341,415,0.822,31.5,14.9,24.5,11.8,9.8,1.3,0.7,0.66
J. Murray,31.7,1298,257,400,66,16,473,1041,0.454,172,432,0.398,301,609,0.494,180,216,0.833,17.9,5.1,20,4,6.2,1,0.2,0.537
M. Porter Jr.,30.9,1080,341,65,37,29,398,817,0.487,188,454,0.414,210,363,0.579,96,120,0.8,16.8,4.3,17.4,5.5,1,0.6,0.5,0.602
A. Gordon,19.7,1109,446,203,54,51,429,761,0.564,60,173,0.347,369,588,0.628,191,314,0.608,19.5,6.8,16.3,6.6,3,0.8,0.8,0.603
B. Hyland,2.2,508,86,125,28,13,173,434,0.399,91,241,0.378,82,193,0.425,71,82,0.866,14.4,0.9,12.1,2,3,0.7,0.3,0.503
K.Caldwell-Pope,14,822,208,183,112,35,292,632,0.462,135,319,0.423,157,313,0.502,103,125,0.824,11.5,4.5,10.8,2.7,2.4,1.5,0.5,0.569
R. Jackson,0.6,127,28,50,9,1,49,128,0.383,19,68,0.279,30,60,0.5,10,12,0.833,8.9,0.1,7.9,1.8,3.1,0.6,0.1,0.457
J. Green,4.5,437,144,69,18,17,160,328,0.488,30,104,0.288,130,224,0.58,87,117,0.744,11,1.7,7.8,2.6,1.2,0.3,0.3,0.534
Z. Nnaji,2.6,277,138,18,17,23,110,196,0.561,17,65,0.262,93,131,0.71,40,62,0.645,12.6,1.6,5.2,2.6,0.3,0.3,0.4,0.605
D. Jordan,1.8,199,202,34,12,23,88,115,0.765,1,1,1,87,114,0.763,22,48,0.458,14.8,1.4,5.1,2.1,0.9,0.3,0.6,0.77
V. Cancar,2.2,297,128,80,22,14,108,227,0.476,43,115,0.374,65,112,0.58,38,41,0.927,11,1.7,5,2.1,1.3,0.4,0.2,0.57
C. Braun,2.8,360,181,59,41,17,143,289,0.495,34,96,0.354,109,193,0.565,40,64,0.625,10.3,1.9,4.7,1.6,0.8,0.5,0.2,0.554
T. Bryant,1.8,83,60,2,2,7,33,68,0.485,4,9,0.444,29,59,0.492,13,18,0.722,11.9,0.3,4.6,3.3,0.1,0.1,0.4,0.515
P. Watson,2.2,75,37,11,2,11,29,59,0.492,6,14,0.429,23,45,0.511,11,20,0.55,12.9,0.3,3.3,1.6,0.5,0.1,0.5,0.542
I. Smith,4.7,108,54,100,8,7,51,131,0.397,2,12,0.167,50,119,0.42,2,4,0.5,6.5,-0.5,2.5,1.3,2.3,0.2,0.2,0.405
D. Reed,1.6,81,55,19,13,4,25,80,0.313,16,44,0.364,9,36,0.25,15,20,0.75,6.2,-0.1,2.3,1.6,0.5,0.4,0.1,0.413
J. White,0.5,21,17,4,3,2,8,19,0.421,3,9,0.333,5,10,0.5,2,3,0.667,12.6,0.1,1.2,1,0.2,0.2,0.1,0.5
B. Brown,6.5,923,328,268,87,51,358,741,0.483,91,254,0.358,267,487,0.548,116,153,0.758,13.3,4.3,11.5,4.1,3.4,0.5,0.2,0.545
