Player,Salary,Points,Rebounds,Assists,Steals,Blocks,FG,FGA,FGPercent,3P,3PA,3PPercent,2P,2PA,2PPercent,FT,FTA,FTPercent,PER,WS,PPG,RPG,APG,SPG,BPG,eFGPercent
A. Wiggins,31.6,1256,325,161,76,51,475,1019,0.466,157,399,0.393,318,620,0.513,149,235,0.634,15,5.1,17.2,4.5,2.2,1,0.7,0.543
J. Poole,2.2,1405,260,304,60,23,474,1058,0.448,211,580,0.364,263,478,0.55,246,266,0.925,16.1,6,18.5,3.4,4,0.8,0.3,0.548
S. Curry,45.8,1630,335,404,85,23,535,1224,0.437,285,750,0.38,250,474,0.527,275,298,0.923,21.4,8,25.5,5.5,6.3,1.3,0.4,0.554
K. Looney,5.2,491,596,165,50,52,208,364,0.571,0,1,0,208,363,0.573,75,125,0.6,15.7,6.8,6,7.3,2,0.6,0.6,0.571
O. Porter Jr,2.4,515,362,94,68,29,193,416,0.464,80,216,0.37,113,200,0.565,49,61,0.803,15.9,4.9,8.2,5.7,1.5,1.1,0.5,0.56
D. Green,24,346,336,320,61,50,135,257,0.525,16,54,0.296,119,203,0.586,60,91,0.659,14.3,3.6,7.5,7.3,7,1.3,1.1,0.556
D. Lee,1.9,467,203,63,39,6,169,383,0.441,63,187,0.337,106,196,0.541,66,75,0.88,10.9,2.7,7.4,3.2,1,0.6,0.1,0.523
G. Payton II,1.9,502,247,64,96,22,212,344,0.616,43,120,0.358,169,224,0.754,35,58,0.603,17.8,5.2,7.1,3.5,0.9,1.4,0.3,0.679
J. Kuminga,5.5,652,234,64,31,22,236,460,0.513,50,149,0.336,186,311,0.598,130,190,0.684,15.2,3,9.3,3.3,0.9,0.4,0.3,0.567
N. Bjelica,2.1,433,294,159,41,26,160,342,0.468,54,149,0.362,106,193,0.549,59,81,0.728,14.2,3,6.1,4.1,2.2,0.6,0.4,0.547
J. Toscano-Anderson,1.7,298,176,127,48,17,115,235,0.489,28,87,0.322,87,148,0.588,40,70,0.571,11,2,4.1,2.4,1.7,0.7,0.2,0.549
K. Thompson,38,652,125,88,16,17,246,573,0.429,114,296,0.385,132,277,0.477,46,51,0.902,16.7,1.8,20.4,3.9,2.8,0.5,0.5,0.529
M. Moody,3.6,228,80,23,7,10,80,183,0.437,40,110,0.364,40,73,0.548,28,36,0.778,10.5,1.3,4.4,1.5,0.4,0.1,0.2,0.549
A. Iguodala,2.6,124,100,114,27,22,46,121,0.38,17,74,0.23,29,47,0.617,15,20,0.75,12.3,1.6,4,3.2,3.7,0.9,0.7,0.45
C. Chiozza,0.4,67,36,65,13,0,24,81,0.296,17,53,0.321,7,28,0.25,2,3,0.667,4.4,0,2,1.1,1.9,0.4,0,0.401
Q. Weatherspoon,0.1,30,14,5,1,1,12,21,0.571,1,5,0.2,11,16,0.688,5,5,1,12,0.2,2.7,1.3,0.5,0.1,0.1,0.595
J. Dowtin,0.1,6,7,3,0,1,3,6,0.5,0,1,0,3,5,0.6,0,0,0,9.5,0.1,1.5,1.8,0.8,0,0.3,0.5
