Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Keaton Wallace,PG,53,10.1,1.3,3.2,0.398,0.7,1.9,0.373,0.6,1.3,0.435,0.509,0.2,0.3,0.667,0.1,1,1.1,1.8,0.5,0.1,0.5,0.9,3.5,2.3,10.4,0.7
Ví­t Krejcí,PG,46,22.3,3.1,6.7,0.464,2.2,5.2,0.423,0.9,1.5,0.609,0.628,0.6,0.8,0.75,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,9,2.3,11.1,2.9
Luke Kennard,SG,46,20.5,2.8,5.2,0.538,1.6,3.2,0.497,1.2,2,0.604,0.692,0.7,0.8,0.914,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,7.9,11,13.5,4.5
Mouhamed Gueye,PF,77,15.3,1.7,3.8,0.452,0.5,1.7,0.308,1.2,2.1,0.569,0.521,0.5,0.8,0.645,1.2,2.4,3.6,0.9,0.8,0.5,0.4,1.6,4.4,2.2,12,2.7
Asa Newell,PF,44,11.4,2.1,3.8,0.538,0.7,1.7,0.387,1.4,2.1,0.66,0.624,0.4,0.7,0.552,1,1.2,2.2,0.6,0.4,0.3,0.5,1.5,5.2,3.2,14.2,1.2
Corey Kispert,SF,39,18.2,3.2,7.1,0.455,1.5,4.1,0.354,1.7,2.9,0.596,0.558,1.3,1.6,0.81,0.5,1.7,2.3,1.5,0.2,0.2,0.8,1,9.2,14,13.1,1.8
Zaccharie Risacher,SF,67,22.4,3.6,8,0.455,1.4,3.9,0.368,2.2,4.1,0.536,0.544,0.9,1.3,0.644,1.1,2.8,3.8,1.1,0.9,0.5,0.9,2.2,9.6,13.2,11.8,2.3
Onyeka Okongwu,C,74,31,5.6,11.6,0.48,1.9,5.2,0.376,3.6,6.4,0.564,0.564,2.1,2.7,0.757,1.9,5.7,7.6,3.1,1.1,1.1,1.7,3.3,15.2,15,15.9,6
Nickeil Alexander-Walker,SG,78,33.4,7,15.3,0.459,3.2,8.1,0.399,3.8,7.3,0.525,0.564,3.6,3.9,0.902,0.7,2.8,3.4,3.7,1.3,0.5,2.1,2.2,20.8,15.2,16.5,6.3
Dyson Daniels,SG,76,33.2,5.3,10.2,0.517,0.3,1.5,0.188,5,8.7,0.576,0.532,1,1.6,0.615,2.4,4.4,6.8,5.9,2,0.4,1.8,2.2,11.9,7.7,15.5,6.6
CJ McCollum,PG,41,28.8,7,15.2,0.456,2.3,6.5,0.357,4.6,8.8,0.529,0.532,2.5,3.3,0.748,1,2.2,3.1,4.1,1,0.6,1.9,1.7,18.7,30.7,15.9,3
Jalen Johnson,SF,72,35.2,8.3,17.1,0.489,1.7,4.7,0.352,6.7,12.3,0.541,0.537,4.2,5.3,0.788,1.4,8.9,10.3,7.9,1.2,0.4,3.4,2.1,22.5,30,20.4,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,63,22.7,4.8,10.2,0.471,1.2,3.3,0.364,3.7,6.8,0.544,0.523,2.2,2.8,0.786,0.8,5,5.8,4.9,0.9,0.3,2,1.5,13,16.2,15.4,4.1
