Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jalen Johnson,SF,72,35.2,8.3,17.1,0.489,1.7,4.7,0.352,6.7,12.3,0.541,0.537,4.2,5.3,0.788,1.4,8.9,10.3,7.9,1.2,0.4,3.4,2.1,22.5
Nickeil Alexander-Walker,SG,78,33.4,7,15.3,0.459,3.2,8.1,0.399,3.8,7.3,0.525,0.564,3.6,3.9,0.902,0.7,2.8,3.4,3.7,1.3,0.5,2.1,2.2,20.8
Dyson Daniels,SG,76,33.2,5.3,10.2,0.517,0.3,1.5,0.188,5,8.7,0.576,0.532,1,1.6,0.615,2.4,4.4,6.8,5.9,2,0.4,1.8,2.2,11.9
Onyeka Okongwu,C,74,31,5.6,11.6,0.48,1.9,5.2,0.376,3.6,6.4,0.564,0.564,2.1,2.7,0.757,1.9,5.7,7.6,3.1,1.1,1.1,1.7,3.3,15.2
CJ McCollum,PG,41,28.8,7,15.2,0.456,2.3,6.5,0.357,4.6,8.8,0.529,0.532,2.5,3.3,0.748,1,2.2,3.1,4.1,1,0.6,1.9,1.7,18.7
Trae Young,PG,10,28,5.6,13.5,0.415,1.8,5.9,0.305,3.8,7.6,0.5,0.481,6.3,7.3,0.863,0,1.5,1.5,8.9,1,0.1,2.6,2,19.3
Keshon Gilbert,SG,1,26,4,8,0.5,0,1,0,4,7,0.571,0.5,3,3,1,0,0,0,9,1,0,2,2,11
Kristaps Porzi??is,C,17,24.3,5.6,12.4,0.457,1.8,5.1,0.36,3.8,7.3,0.524,0.531,4,4.8,0.84,1.2,3.9,5.1,2.7,0.5,1.3,0.9,3.2,17.1
Zaccharie Risacher,SF,67,22.4,3.6,8,0.455,1.4,3.9,0.368,2.2,4.1,0.536,0.544,0.9,1.3,0.644,1.1,2.8,3.8,1.1,0.9,0.5,0.9,2.2,9.6
Vít Krejcí,PG,46,22.3,3.1,6.7,0.464,2.2,5.2,0.423,0.9,1.5,0.609,0.628,0.6,0.8,0.75,0.4,1.7,2.1,1.5,0.8,0.3,0.7,2.3,9
Jonathan Kuminga,PF,16,22.1,4.3,9.1,0.476,1.1,3.3,0.346,3.2,5.8,0.548,0.538,2.5,3.6,0.702,1.3,4.1,5.3,2.1,0.9,0.3,1.3,1.4,12.3
Luke Kennard,SG,46,20.5,2.8,5.2,0.538,1.6,3.2,0.497,1.2,2,0.604,0.692,0.7,0.8,0.914,0.4,1.7,2.2,2.1,0.7,0.1,0.7,1.2,7.9
Jock Landale,C,23,19.4,3.6,6.9,0.516,1.1,2.8,0.391,2.5,4.1,0.6,0.594,0.9,1.6,0.541,1.8,2.3,4.1,1.7,0.4,0.6,0.6,2.1,9.1
Corey Kispert,SF,39,18.2,3.2,7.1,0.455,1.5,4.1,0.354,1.7,2.9,0.596,0.558,1.3,1.6,0.81,0.5,1.7,2.3,1.5,0.2,0.2,0.8,1,9.2
Mouhamed Gueye,PF,77,15.3,1.7,3.8,0.452,0.5,1.7,0.308,1.2,2.1,0.569,0.521,0.5,0.8,0.645,1.2,2.4,3.6,0.9,0.8,0.5,0.4,1.6,4.4
Gabe Vincent,PG,24,13.3,1.3,3.6,0.36,0.9,2.9,0.3,0.4,0.7,0.625,0.483,0.4,0.5,0.833,0.4,0.7,1.1,1.6,0.5,0.1,0.6,1.1,3.9
Asa Newell,PF,44,11.4,2.1,3.8,0.538,0.7,1.7,0.387,1.4,2.1,0.66,0.624,0.4,0.7,0.552,1,1.2,2.2,0.6,0.4,0.3,0.5,1.5,5.2
RayJ Dennis,PG,3,11.3,1.3,3.7,0.364,0.7,2.3,0.286,0.7,1.3,0.5,0.455,0,0,,0,1,1,2.3,0.3,0,0.7,1.7,3.3
Tony Bradley,C,3,11.3,1.7,3.7,0.455,0.3,0.7,0.5,1.3,3,0.444,0.5,0,0,,1.3,1.7,3,0.7,0,0,0.3,0.7,3.7
Christian Koloko,C,14,11.1,1.2,2.8,0.436,0.1,0.6,0.125,1.1,2.2,0.516,0.449,0.6,0.8,0.818,0.9,1.7,2.6,0.6,0.3,0.7,0.6,1.9,3.1
Keaton Wallace,PG,53,10.1,1.3,3.2,0.398,0.7,1.9,0.373,0.6,1.3,0.435,0.509,0.2,0.3,0.667,0.1,1,1.1,1.8,0.5,0.1,0.5,0.9,3.5
Buddy Hield,SG,7,7.3,1.9,3.9,0.481,1,2.4,0.412,0.9,1.4,0.6,0.611,0.4,0.4,1,0.1,1,1.1,0.7,0.3,0,0.9,0.1,5.1
Caleb Houstan,SF,18,4.2,0.8,1.4,0.538,0.6,1.2,0.524,0.2,0.3,0.6,0.75,0.2,0.2,1,0.3,0.3,0.6,0.2,0.1,0.1,0.2,0.6,2.3
N'Faly Dante,C,4,3.8,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.3,0.3,1,0.8,1,1.8,0,0.5,0,0.3,0.3,0.8
Jacob Toppin,SF,5,3.4,0.8,1.2,0.667,0,0,,0.8,1.2,0.667,0.667,0,0,,0,0.2,0.2,0.2,0,0.2,0,0.2,1.6
