Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Jaylen Brown,29,SF,71,71,34.4,10.4,21.7,0.477,2,5.7,0.347,8.4,16,0.523,0.522,6,7.5,0.795,1.1,5.8,6.9,5.1,1,0.4,3.6,2.7,28.7,"MVP-6,AS,NBA2"
Derrick White,31,SG,77,77,34.1,5.7,14.4,0.394,2.7,8.3,0.327,3,6.1,0.487,0.489,2.4,2.6,0.902,1.1,3.3,4.4,5.4,1.1,1.3,1.7,1.5,16.5,"DPOY-6,DEF1"
Jayson Tatum,27,PF,16,16,32.6,7.4,17.9,0.411,2.9,8.9,0.329,4.4,9,0.493,0.493,4.1,4.9,0.823,0.5,9.5,10,5.3,1.4,0.2,2.4,1.6,21.8,
Payton Pritchard,28,PG,79,50,32.4,6.4,13.8,0.464,2.7,7.1,0.377,3.7,6.7,0.556,0.561,1.5,1.7,0.89,0.9,3.1,3.9,5.2,0.7,0.1,1.4,1.5,17,
Neemias Queta,26,C,76,75,25.3,4.3,6.6,0.653,0,0.1,0.125,4.3,6.5,0.662,0.654,1.6,2.3,0.703,3,5.3,8.4,1.7,0.8,1.3,1,2.8,10.2,
Sam Hauser,28,PF,78,49,24.8,3.2,7.7,0.419,2.5,6.5,0.393,0.7,1.2,0.557,0.584,0.2,0.3,0.85,0.7,3.1,3.8,1.5,0.5,0.3,0.4,1.4,9.2,
Anfernee Simons,26,SG,49,0,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,
Nikola Vučević,35,C,16,1,21.1,3.8,8.7,0.439,1.1,3.3,0.34,2.7,5.4,0.5,0.504,0.9,1.2,0.789,1.6,5.1,6.6,2,0.4,0.6,1,1.9,9.7,
Baylor Scheierman,25,SG,77,20,18.6,2,4.3,0.453,1.3,3.2,0.399,0.7,1.2,0.6,0.599,0.4,0.4,0.903,0.7,2.8,3.5,1.5,0.5,0.1,0.6,1.4,5.5,
Jordan Walsh,21,PF,68,25,17.8,2,3.9,0.509,0.7,1.8,0.384,1.3,2.1,0.62,0.599,0.6,0.8,0.772,1.3,2.8,4,0.8,0.7,0.5,0.5,2,5.4,
Luka Garza,27,C,69,6,16.2,3,5.2,0.577,0.8,1.8,0.433,2.2,3.3,0.657,0.654,1.3,1.7,0.769,2.3,1.8,4.1,1,0.4,0.4,0.7,2.3,8.1,
Josh Minott,23,PF,33,10,15.9,2.1,4.1,0.507,1,2.3,0.442,1.1,1.8,0.593,0.632,0.6,0.8,0.769,1.2,2.4,3.6,1,0.7,0.4,0.6,1.5,5.8,
Hugo González,19,SF,74,3,14.6,1.6,3.3,0.476,0.6,1.6,0.362,1,1.8,0.577,0.561,0.2,0.4,0.5,0.8,2.5,3.3,0.5,0.6,0.3,0.5,1.7,3.9,
Dalano Banton,26,PG,4,0,13,0.3,2,0.125,0,0.3,0,0.3,1.8,0.143,0.125,1,1,1,0.3,0.8,1,2.3,0.3,1.3,1.8,0.8,1.5,
Ron Harper Jr.,25,SF,29,3,11,1.6,3.8,0.418,1,2.8,0.35,0.6,1,0.6,0.545,0.1,0.1,0.75,0.5,1.1,1.7,0.8,0.3,0.3,0.3,0.7,4.2,
Chris Boucher,33,PF,9,0,10.4,0.9,2.8,0.32,0.2,1.7,0.133,0.7,1.1,0.6,0.36,0.3,0.4,0.75,0.2,1.8,2,0.3,0.6,0.8,0.1,1.9,2.3,
Xavier Tillman Sr.,27,C,14,1,7.9,1,2.2,0.452,0.2,1.1,0.2,0.8,1.1,0.688,0.5,0,0,,0.7,1.1,1.8,0.4,0.4,0.1,0.4,0.6,2.2,
John Tonje,24,SG,6,0,7,0.7,2.3,0.286,0.5,1.7,0.3,0.2,0.7,0.25,0.393,0.7,0.7,1,0,1,1,0.3,0.3,0,0,0.8,2.5,
Amari Williams,24,PF,22,2,6.6,0.5,0.9,0.5,0,0,,0.5,0.9,0.5,0.5,0.5,0.6,0.714,0.4,1.4,1.8,0.5,0.1,0.5,0.5,0.9,1.4,
Charles Bassey,25,C,5,0,3.4,1.2,1.4,0.857,0,0,,1.2,1.4,0.857,0.857,0.4,0.8,0.5,0.8,0.4,1.2,0,0.2,0.4,0.2,0.6,2.8,
Max Shulga,23,SG,11,1,3.3,0.2,0.7,0.25,0.1,0.4,0.25,0.1,0.4,0.25,0.313,0.2,0.2,1,0.3,0.3,0.5,0.2,0.1,0,0.3,0.9,0.6,
Team Totals,,,82,82,240.6,42.1,90.2,0.467,15.5,42.1,0.367,26.7,48.1,0.555,0.553,15.1,18.7,0.807,12.5,33.9,46.4,24.6,7.1,5,12.4,19,114.9,
