Player,Pos,G,MP,FG,FGA,FG_pct,3P,3PA,ThreeP_pct,2P,2PA,TwoP_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Sam Hauser,PF,78,24.8,3.2,7.7,0.419,2.5,6.5,0.393,0.7,1.2,0.557,0.584,0.2,0.3,0.85,0.7,3.1,3.8,1.5,0.5,0.3,0.4,1.4,9.2,10,11.9,5
Hugo González,SF,74,14.6,1.6,3.3,0.476,0.6,1.6,0.362,1,1.8,0.577,0.561,0.2,0.4,0.5,0.8,2.5,3.3,0.5,0.6,0.3,0.5,1.7,3.9,2.8,10.2,2.2
Jordan Walsh,PF,68,17.8,2,3.9,0.509,0.7,1.8,0.384,1.3,2.1,0.62,0.599,0.6,0.8,0.772,1.3,2.8,4,0.8,0.7,0.5,0.5,2,5.4,2.2,13.1,3.8
Baylor Scheierman,SG,77,18.6,2,4.3,0.453,1.3,3.2,0.399,0.7,1.2,0.6,0.599,0.4,0.4,0.903,0.7,2.8,3.5,1.5,0.5,0.1,0.6,1.4,5.5,2.6,11.6,3.8
Josh Minott,PF,33,15.9,2.1,4.1,0.507,1,2.3,0.442,1.1,1.8,0.593,0.632,0.6,0.8,0.769,1.2,2.4,3.6,1,0.7,0.4,0.6,1.5,5.8,2.6,16,2.4
Luka Garza,C,69,16.2,3,5.2,0.577,0.8,1.8,0.433,2.2,3.3,0.657,0.654,1.3,1.7,0.769,2.3,1.8,4.1,1,0.4,0.4,0.7,2.3,8.1,2.4,19.9,5.3
Neemias Queta,C,76,25.3,4.3,6.6,0.653,0,0.1,0.125,4.3,6.5,0.662,0.654,1.6,2.3,0.703,3,5.3,8.4,1.7,0.8,1.3,1,2.8,10.2,2.3,20.3,9
Anfernee Simons,SG,49,24.5,5.1,11.6,0.44,2.7,6.7,0.395,2.4,4.9,0.502,0.555,1.3,1.5,0.889,0.5,1.9,2.4,2.4,0.6,0.1,1.1,1.7,14.2,27.7,14.4,2.9
Payton Pritchard,PG,79,32.4,6.4,13.8,0.464,2.7,7.1,0.377,3.7,6.7,0.556,0.561,1.5,1.7,0.89,0.9,3.1,3.9,5.2,0.7,0.1,1.4,1.5,17,7.2,17.1,8.5
Derrick White,SG,77,34.1,5.7,14.4,0.394,2.7,8.3,0.327,3,6.1,0.487,0.489,2.4,2.6,0.902,1.1,3.3,4.4,5.4,1.1,1.3,1.7,1.5,16.5,28.1,16,7
Jaylen Brown,SF,71,34.4,10.4,21.7,0.477,2,5.7,0.347,8.4,16,0.523,0.522,6,7.5,0.795,1.1,5.8,6.9,5.1,1,0.4,3.6,2.7,28.7,53.1,22,6.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Statistics:,,75,29.6,4.2,8.8,0.477,2.3,6.1,0.377,4.6,8.6,0.535,0.553,3.1,3.9,0.795,0.9,4.5,5.4,3.3,0.8,0.4,2,2.1,19,31.6,17,6
