Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jalen Wilson,PF,54,15.9,2,5.1,0.396,1,2.8,0.355,1,2.3,0.444,0.493,1.3,1.8,0.719,0.3,1.8,2.1,0.9,0.4,0,0.7,1.6,6.4,2.2,8.7,0.2
Tyrese Martin,SG,37,18.8,2.7,6.9,0.392,1.4,4.1,0.336,1.3,2.8,0.476,0.492,0.5,0.7,0.731,0.9,2,2.9,1.9,0.6,0.1,0.9,0.8,7.3,2.1,10.3,0.1
Terance Mann,SG,63,24.3,2.7,5.8,0.457,0.9,2.4,0.364,1.8,3.4,0.523,0.533,1,1.3,0.788,1.1,2.1,3.2,3,0.7,0.2,1.1,2.5,7.2,15.5,10.2,1.8
Drake Powell,SG,63,21,2.3,5.7,0.402,0.8,2.9,0.28,1.5,2.8,0.528,0.473,1.1,1.2,0.896,0.3,1.4,1.8,1.4,0.6,0.2,1,1.4,6.5,3.4,7.3,-0.1
Ben Saraf,SG,44,20.8,2.7,6.9,0.396,0.4,2,0.211,2.3,4.8,0.474,0.427,1.7,2,0.83,0.5,1.6,2.1,3.3,0.9,0.2,2.3,1.8,7.5,2.9,7.8,-1.1
Egor Demin,PG,52,25.2,3.4,8.6,0.399,2.4,6.2,0.385,1.1,2.4,0.433,0.537,1,1.3,0.831,0.4,2.8,3.2,3.3,0.8,0.3,1.7,1.8,10.3,6.9,11.3,0.9
Michael Porter Jr.,SF,52,32.5,8.5,18.4,0.463,3.4,9.3,0.363,5.2,9.1,0.567,0.555,3.8,4.4,0.859,1.3,5.7,7.1,3,1.1,0.3,2.3,2.2,24.2,38.3,19.9,2.9
Day'Ron Sharpe,C,62,18.7,3.5,5.7,0.601,0.1,0.6,0.231,3.3,5.1,0.647,0.614,1.7,2.5,0.678,2.8,3.9,6.7,2.3,1.1,0.4,1.7,2.4,8.7,6.3,20.5,3.5
Ziaire Williams,SF,56,22.9,3.3,7.7,0.425,1.5,4.5,0.343,1.8,3.3,0.538,0.524,2.1,2.5,0.85,0.5,1.9,2.4,1.1,1.4,0.4,1.1,2.1,10.2,6.3,12.4,1.6
Nolan Traore,PG,56,22.2,3.3,8.6,0.38,1.1,3.4,0.318,2.2,5.1,0.422,0.444,1.3,1.7,0.787,0.3,1.5,1.8,3.8,0.8,0.4,2.3,2.1,8.9,3.8,7.9,-1.6
Danny Wolf,PF,57,20.8,3.1,7.7,0.405,1.2,3.7,0.322,1.9,4,0.48,0.482,1.5,1.9,0.771,1,3.9,4.9,2.2,0.5,0.6,1.3,2.2,8.9,2.8,12.3,0.8
Noah Clowney,PF,66,27,3.8,9.6,0.396,2,5.9,0.329,1.8,3.6,0.506,0.498,2.7,3.4,0.804,0.8,3.3,4.1,1.6,0.8,0.7,1.5,2.5,12.3,3.4,11.2,1.1
Nic Claxton,C,69,27.8,4.8,8.4,0.571,0,0.3,0.158,4.8,8.2,0.585,0.574,2,3.3,0.616,2.4,4.5,6.9,3.7,0.7,1.1,1.4,2.3,11.7,25.4,17.6,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,56,22.9,3.5,8.1,0.439,1.2,3.7,0.337,2.3,4.4,0.527,0.511,1.7,2.2,0.775,1,2.8,3.8,2.4,0.8,0.4,1.5,2,10,9.2,12.1,1.1
