Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Pat Connaughton,SG,42,7.1,0.9,2,0.447,0.5,1.2,0.404,0.4,0.8,0.515,0.571,0.3,0.5,0.65,0.4,1.1,1.5,0.4,0.3,0,0.3,0.2,2.6,1.3,12.6,0.7
Josh Green,SG,58,15.7,1.4,3.1,0.459,1,2.4,0.42,0.4,0.7,0.581,0.619,0.4,0.5,0.893,0.8,1,1.8,0.8,0.6,0.1,0.6,1.1,4.3,13.7,9.7,1.9
Liam McNeeley,SF,31,11.9,1.2,3.1,0.4,0.8,1.9,0.4,0.5,1.1,0.4,0.526,1,1.3,0.821,0.4,1.9,2.4,0.8,0.2,0.1,0.4,1.2,4.3,2.8,10.6,0.9
Tre Mann,PG,53,12.6,2.1,5.7,0.36,0.9,2.9,0.323,1.1,2.8,0.399,0.442,0.4,0.5,0.852,0.4,1.4,1.7,1.6,0.5,0.1,1,1.3,5.5,8,8.3,0
Tidjane Salaün,PF,37,15.5,2.2,4.3,0.503,1,2.2,0.434,1.2,2.1,0.579,0.616,0.7,1.1,0.65,0.7,3.3,4,0.7,0.4,0.2,0.7,1.5,6,7.9,12.9,1.4
Ryan Kalkbrenner,C,69,21.4,3.2,4.2,0.753,0,0.1,0,3.2,4.1,0.766,0.753,1.2,1.7,0.716,2.4,3,5.5,0.8,0.5,1.5,0.9,1.6,7.6,2.3,17.9,5.7
Grant Williams,PF,36,19.8,2.2,5.1,0.426,1.4,3.7,0.388,0.7,1.4,0.531,0.568,1.2,1.5,0.815,1.3,2.7,3.9,1.6,0.5,0.5,0.9,1.6,7,13.6,12.9,1.9
Miles Bridges,PF,77,31,6.2,13.5,0.46,1.9,5.8,0.333,4.3,7.8,0.554,0.531,2.7,3.3,0.822,1,4.9,5.8,3.2,0.6,0.4,1.4,1.7,17.1,25,16,6.5
Sion James,SG,82,22.5,1.7,4.5,0.371,1,2.9,0.352,0.7,1.7,0.404,0.483,1,1.2,0.837,0.6,2.9,3.5,2,0.6,0.2,0.8,1.8,5.4,2.3,8.3,3.1
Collin Sexton,SG,42,22.3,4.8,9.9,0.488,1.4,3.5,0.393,3.5,6.4,0.539,0.557,3.2,3.7,0.877,0.4,1.5,1.9,3.7,0.9,0.2,2.1,1.8,14.2,19,17.4,3.9
Kon Knueppel,SF,81,31.5,6.4,13.4,0.475,3.4,7.9,0.425,3,5.5,0.548,0.601,2.4,2.8,0.863,1.2,4.1,5.3,3.4,0.7,0.2,2,2.1,18.5,10,17.1,8
Moussa Diabaté,C,73,26,3.1,5,0.631,0,0,0.5,3.1,4.9,0.632,0.632,1.6,2.4,0.659,3.7,5,8.7,1.9,0.8,1,1,2.4,7.9,2.3,17.2,7.4
LaMelo Ball,PG,72,28,7,17.3,0.407,3.8,10.3,0.368,3.3,7,0.464,0.516,2.2,2.5,0.899,0.9,3.9,4.8,7.1,1.2,0.2,2.8,2.7,20.1,38,19.7,6.2
Brandon Miller,SF,65,30.3,7,16.1,0.435,3.1,8.2,0.383,3.8,7.9,0.489,0.533,3.1,3.4,0.892,1.1,3.8,4.9,3.3,1,0.7,2.5,2.8,20.2,12,16.8,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,58,21.1,3.5,7.7,0.461,1.4,3.8,0.381,2.1,3.9,0.539,0.568,1.5,1.9,0.811,1.1,2.9,4,2.2,0.6,0.4,1.2,1.7,10.1,11.3,14.1,3.7
