Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Rob Dillingham,PG,30,21.5,3.9,9,0.428,1,3.3,0.3,2.9,5.7,0.503,0.483,0.9,1.2,0.743,0.5,2.5,3,2.8,0.9,0.1,2.1,2.6,9.6,6.6,7.7,-1.1
Lachlan Olbrich,C,37,9.3,1,2.1,0.468,0.1,0.5,0.105,0.9,1.6,0.586,0.481,0.4,1.1,0.375,1.2,1.8,3,1.1,0.3,0.2,0.4,1.3,2.4,0.6,12,0.5
Julian Phillips,SF,35,9.5,1.1,2.5,0.42,0.5,1.4,0.327,0.6,1.1,0.538,0.511,0.3,0.3,0.818,0.6,0.6,1.3,0.2,0.5,0.2,0.2,0.9,2.8,2.2,9.3,0.5
Tre Jones,PG,65,27,5.2,9.5,0.553,0.6,2,0.315,4.6,7.5,0.616,0.586,2.9,3.5,0.841,0.6,2.6,3.1,5.4,1.2,0.2,1.4,1.4,14.1,8,18.7,5.7
Dalen Terry,SG,34,11.1,1.3,3,0.441,0.6,1.4,0.413,0.8,1.6,0.464,0.534,0.3,0.5,0.529,0.6,1.3,1.9,1.3,0.6,0.3,0.6,1,3.5,5.4,11.6,0.7
Ayo Dosunmu,SG,45,26.4,5.6,10.8,0.514,1.9,4.3,0.451,3.6,6.5,0.556,0.604,2,2.3,0.857,0.7,2.3,3,3.6,0.8,0.3,1.4,1.7,15,7.5,16.5,4.9
Patrick Williams,PF,72,20.5,2.5,6.6,0.372,1.3,3.8,0.347,1.2,2.8,0.407,0.472,0.8,1,0.72,0.7,2.3,3,1.5,0.7,0.4,1,1.3,7,18,8.2,-0.1
Isaac Okoro,SG,63,26.9,3.3,7.3,0.46,1.2,3.5,0.33,2.2,3.8,0.58,0.539,1.4,1.8,0.795,1.1,1.7,2.7,1.6,0.7,0.5,0.7,2.6,9.3,11,9.8,2.2
Josh Giddey,PG,54,32.1,5.9,13.3,0.448,1.9,5.2,0.364,4,8,0.502,0.52,3.2,4.2,0.763,1.2,7.1,8.3,9.1,1,0.5,3.6,1.7,17,25,18,3.2
Kevin Huerter,SF,44,23.6,4.2,9.2,0.455,1.6,5.1,0.314,2.6,4.1,0.63,0.542,0.9,1.3,0.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9,18,13.2,2.5
Nikola Vu?evi?,C,48,30.8,6.9,13.8,0.505,1.7,4.5,0.376,5.2,9.2,0.568,0.567,1.3,1.5,0.838,2.1,6.9,9,3.8,0.7,0.6,1.4,2,16.9,21.5,17.7,4.4
Jalen Smith,C,53,20.7,3.7,7.6,0.483,1.5,4.2,0.373,2.1,3.5,0.614,0.584,1.3,1.8,0.742,1.8,4.8,6.7,1.2,0.5,0.8,1,2.1,10.2,9,16.6,2.6
Matas Buzelis,PF,77,29.2,5.8,12.5,0.463,2.2,6.4,0.349,3.5,6.1,0.583,0.553,2.4,3.1,0.786,1,4.8,5.8,2.1,0.7,1.5,2.1,2.3,16.3,5.5,14.8,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,51,22.2,3.9,8.2,0.47,1.2,3.5,0.353,2.6,4.7,0.556,0.537,1.4,1.8,0.767,1,3.2,4.2,2.8,0.7,0.5,1.3,1.8,10.4,10.6,13.4,2.2
