Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jarrett Allen,C,56,27.1,6,9.4,0.638,0,0.2,0.1,6,9.3,0.649,0.639,3.3,4.7,0.709,2.6,5.9,8.5,1.8,1,0.8,1.3,1.7,15.4,20,22.1,6.4
Craig Porter Jr.,PG,64,17.9,1.8,4,0.45,0.5,1.5,0.355,1.3,2.6,0.503,0.514,0.4,0.6,0.6,1.3,2.1,3.4,3.2,0.9,0.6,0.9,1.1,4.5,2.2,13.7,2.8
Nae'Qwan Tomlin,PF,64,15.7,2.3,4.9,0.478,0.4,1.8,0.235,1.9,3.1,0.618,0.521,0.7,1,0.77,1.3,1.6,2.9,0.8,0.6,0.5,0.5,2,5.8,0.7,12.9,2.2
Larry Nance Jr.,PF,35,12.8,1.5,3.5,0.419,0.6,1.8,0.333,0.9,1.7,0.508,0.504,0.2,0.4,0.462,0.8,1.8,2.7,1,0.6,0.2,0.6,1.6,3.7,2.3,9.5,0.6
Thomas Bryant,C,60,12.2,2.3,4.5,0.506,0.8,2.2,0.359,1.5,2.3,0.647,0.594,0.9,1.1,0.803,1,2.4,3.4,0.6,0.3,0.4,0.5,1.3,6.2,2.3,17.2,2.3
Tyrese Proctor,PG,50,10.9,1.9,4.5,0.413,0.9,2.6,0.351,0.9,1.9,0.5,0.516,0.8,0.9,0.889,0.2,1.1,1.3,1.5,0.5,0,0.8,1.2,5.4,1.3,12.2,0.7
Evan Mobley,PF,65,31.9,7.2,13.2,0.546,1,3.2,0.297,6.3,10,0.626,0.582,2.8,4.6,0.606,2.4,6.6,9,3.6,0.7,1.7,1.9,2.4,18.2,46.4,20,6.5
Dean Wade,PF,59,22.3,2.1,4.7,0.439,1.2,3.3,0.362,0.9,1.4,0.622,0.567,0.5,0.6,0.711,0.9,3.3,4.2,1.5,0.7,0.4,0.3,1.5,5.8,6.6,10.9,3.1
Lonzo Ball,PG,35,20.8,1.5,5,0.301,1.1,4.2,0.272,0.4,0.8,0.448,0.415,0.4,0.6,0.667,0.7,3.3,4,3.9,1.3,0.3,1.5,1.3,4.6,10,9.5,0.6
Jaylon Tyson,SG,66,26.9,5,10.2,0.493,2,4.5,0.446,3,5.6,0.53,0.592,1.2,1.6,0.738,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.5,13.2,3.5,14.8,4
De'Andre Hunter,SF,43,26.2,4.7,11.2,0.423,1.7,5.5,0.308,3,5.7,0.535,0.499,2.8,3.2,0.869,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,14,23.3,11.4,4.1
Sam Merrill,SG,52,26.5,4.3,9.3,0.461,3,7.2,0.421,1.3,2.1,0.596,0.624,1.1,1.3,0.855,0.5,2,2.6,2.4,0.6,0.1,0.8,2.4,12.8,8.5,13.6,3.7
Donovan Mitchell,SG,70,33.5,9.7,20,0.483,3.2,8.8,0.364,6.5,11.2,0.577,0.563,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9,46.4,22.9,8.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,63,30.3,7.9,14.7,0.537,1.6,4.5,0.356,6.3,10.3,0.612,0.601,4.3,5.4,0.796,1.7,4.9,6.6,3.8,1.3,0.6,2.1,2,21.7,33.2,22.5,7.3
