Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Harden,PG,26,33.8,6.3,13.5,0.466,3.1,7.1,0.435,3.2,6.5,0.5,0.58,4.8,5.8,0.84,0.5,4.3,4.8,7.7,0.8,0.5,3.2,2.1,20.5
Donovan Mitchell,SG,70,33.5,9.7,20,0.483,3.2,8.8,0.364,6.5,11.2,0.577,0.563,5.3,6.1,0.865,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.9
Evan Mobley,PF,65,31.9,7.2,13.2,0.546,1,3.2,0.297,6.3,10,0.626,0.582,2.8,4.6,0.606,2.4,6.6,9,3.6,0.7,1.7,1.9,2.4,18.2
Darius Garland,PG,26,30.5,6.5,14.5,0.451,2.3,6.3,0.36,4.3,8.2,0.521,0.529,2.6,3,0.861,0.5,2,2.4,6.9,0.8,0.1,2.8,1.8,18
Jarrett Allen,C,56,27.1,6,9.4,0.638,0,0.2,0.1,6,9.3,0.649,0.639,3.3,4.7,0.709,2.6,5.9,8.5,1.8,1,0.8,1.3,1.7,15.4
Jaylon Tyson,SG,66,26.9,5,10.2,0.493,2,4.5,0.446,3,5.6,0.53,0.592,1.2,1.6,0.738,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.5,13.2
Sam Merrill,SG,52,26.5,4.3,9.3,0.461,3,7.2,0.421,1.3,2.1,0.596,0.624,1.1,1.3,0.855,0.5,2,2.6,2.4,0.6,0.1,0.8,2.4,12.8
De'Andre Hunter,SF,43,26.2,4.7,11.2,0.423,1.7,5.5,0.308,3,5.7,0.535,0.499,2.8,3.2,0.869,0.7,3.6,4.2,2.1,0.7,0.1,1.7,2.5,14
Keon Ellis,SG,29,24.8,3,6,0.491,1.3,3.7,0.355,1.7,2.3,0.706,0.6,1.1,1.3,0.816,0.8,2,2.8,1.6,1.3,0.8,0.7,2.2,8.3
Max Strus,SF,12,24,3.9,8.8,0.443,2.8,6.8,0.402,1.2,2,0.583,0.599,0.6,0.8,0.778,0.8,4.7,5.4,2,0.3,0,0.8,2.8,11.2
Dean Wade,PF,59,22.3,2.1,4.7,0.439,1.2,3.3,0.362,0.9,1.4,0.622,0.567,0.5,0.6,0.711,0.9,3.3,4.2,1.5,0.7,0.4,0.3,1.5,5.8
Dennis Schröder,PG,30,21.4,2.8,6.9,0.401,0.6,2.1,0.29,2.2,4.8,0.448,0.444,2.1,2.4,0.861,0.4,1.9,2.3,4.3,0.8,0.2,1.5,1.4,8.2
Lonzo Ball,PG,35,20.8,1.5,5,0.301,1.1,4.2,0.272,0.4,0.8,0.448,0.415,0.4,0.6,0.667,0.7,3.3,4,3.9,1.3,0.3,1.5,1.3,4.6
Craig Porter Jr.,PG,64,17.9,1.8,4,0.45,0.5,1.5,0.355,1.3,2.6,0.503,0.514,0.4,0.6,0.6,1.3,2.1,3.4,3.2,0.9,0.6,0.9,1.1,4.5
Nae'Qwan Tomlin,PF,64,15.7,2.3,4.9,0.478,0.4,1.8,0.235,1.9,3.1,0.618,0.521,0.7,1,0.77,1.3,1.6,2.9,0.8,0.6,0.5,0.5,2,5.8
Larry Nance Jr.,PF,35,12.8,1.5,3.5,0.419,0.6,1.8,0.333,0.9,1.7,0.508,0.504,0.2,0.4,0.462,0.8,1.8,2.7,1,0.6,0.2,0.6,1.6,3.7
Thomas Bryant,C,60,12.2,2.3,4.5,0.506,0.8,2.2,0.359,1.5,2.3,0.647,0.594,0.9,1.1,0.803,1,2.4,3.4,0.6,0.3,0.4,0.5,1.3,6.2
Tyrese Proctor,PG,50,10.9,1.9,4.5,0.413,0.9,2.6,0.351,0.9,1.9,0.5,0.516,0.8,0.9,0.889,0.2,1.1,1.3,1.5,0.5,0,0.8,1.2,5.4
Olivier Sarr,C,4,9.8,1.3,1.8,0.714,0.5,0.8,0.667,0.8,1,0.75,0.857,0.5,1.3,0.4,0.5,2.3,2.8,1.3,0.5,0.8,0.5,2.3,3.5
Tristan Enaruna,SF,9,9.4,1.6,3.1,0.5,0.3,1.1,0.3,1.2,2,0.611,0.554,0.7,0.9,0.75,0.8,0.8,1.6,0.8,0.6,0,0.3,0.3,4.1
Luke Travers,SG,12,8.6,0.8,3,0.25,0.1,1.3,0.063,0.7,1.7,0.4,0.264,0.8,0.8,1,0.8,1.3,2,0.8,0.6,0.3,0.3,0.5,2.3
Riley Minix,SF,6,8.3,1.7,2.8,0.588,0.5,1.5,0.333,1.2,1.3,0.875,0.676,0.5,0.5,1,0.2,0.5,0.7,0.7,0.2,0.2,0.5,0.7,4.3
Chris Livingston,SF,3,5.7,1.3,2.3,0.571,0,1,0,1.3,1.3,1,0.571,0.3,0.3,1,0,1,1,0.3,0.3,0,0,1.3,3
Darius Brown II,SG,1,3,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0
