Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Chaz Lanier,SG,34,7.7,0.8,2.6,0.315,0.6,2,0.284,0.3,0.6,0.409,0.421,0.1,0.2,0.833,0.2,0.4,0.7,0.5,0.2,0,0.1,0.4,2.4,1.4,6.6,0.3
Marcus Sasser,PG,38,12,1.8,4.7,0.39,1.2,2.8,0.415,0.7,1.9,0.352,0.514,0.4,0.5,0.833,0.2,0.8,1,2,0.5,0.1,0.8,1.1,5.2,2.9,11.2,0.8
Javonte Green,SG,82,17.6,2.3,5,0.447,1.1,3,0.381,1.1,2,0.545,0.56,1.3,1.5,0.84,0.8,2,2.8,0.7,1.2,0.3,0.5,1.3,6.9,2.3,14.1,4.7
Jaden Ivey,SG,33,16.8,3,6.7,0.45,1.3,3.4,0.372,1.7,3.2,0.533,0.545,0.9,1.2,0.789,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,8.2,10.1,13,1.3
Caris LeVert,SG,60,19.2,2.7,6.5,0.417,1,3,0.333,1.7,3.5,0.488,0.494,1,1.4,0.679,0.4,1.6,2,2.7,0.9,0.7,1.4,1.5,7.4,14.1,10.9,1.6
Daniss Jenkins,PG,72,20.2,3.2,7.9,0.408,1,2.7,0.374,2.2,5.2,0.426,0.473,1.9,2.2,0.832,0.7,1.6,2.3,3.9,0.9,0.2,1.6,1.5,9.3,3.8,13.4,2.9
Tobias Harris,PF,63,27.7,4.9,10.5,0.469,1.3,3.5,0.368,3.6,6.9,0.521,0.531,2.2,2.5,0.866,0.9,4.3,5.1,2.5,0.9,0.4,1,1.7,13.3,26.6,15,5.3
Paul Reed,C,65,13.9,3.2,5.2,0.617,0.2,0.6,0.325,3,4.6,0.656,0.636,1.1,1.7,0.664,2,2.5,4.5,1.2,0.9,0.9,0.9,1.8,7.8,5.3,24.2,4.5
Duncan Robinson,SG,77,27.4,4.1,9.1,0.456,2.9,7,0.41,1.3,2.1,0.605,0.613,1.1,1.4,0.755,0.4,2.3,2.7,2.1,0.6,0.3,0.7,2.2,12.2,16.8,12.4,6.1
Ron Holland,SF,78,19.9,3,7,0.432,0.6,2.5,0.253,2.4,4.4,0.535,0.478,1.5,1.9,0.805,1.1,3,4,1.2,1.2,0.3,1.2,2.3,8.2,8.7,11.7,2.8
Ausar Thompson,SF,73,26,4.2,7.9,0.525,0.1,0.3,0.25,4.1,7.6,0.537,0.53,1.5,2.6,0.571,2.1,3.7,5.7,3.1,2,0.9,1.5,2.7,9.9,8.8,16.2,5.7
Jalen Duren,C,70,28.2,7.5,11.5,0.65,0,0,,7.5,11.5,0.65,0.65,4.6,6.1,0.747,3.8,6.7,10.5,2,0.8,0.8,1.9,2.8,19.5,6.5,26.1,11
Isaiah Stewart,C,58,22.7,3.8,6.9,0.55,0.7,2.1,0.333,3.1,4.9,0.642,0.6,1.7,2.3,0.756,1.7,3.3,5,1.1,0.3,1.6,1.2,2.9,10,15,15.2,4.1
Cade Cunningham,PG,64,33.9,8.6,18.6,0.461,2,5.7,0.342,6.6,12.9,0.514,0.513,4.8,6,0.812,0.9,4.7,5.5,9.9,1.4,0.8,3.7,3.1,23.9,46.4,21.6,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,49,20.8,4.7,10.6,0.443,1.3,3.9,0.333,3.5,6.8,0.515,0.467,2.5,3.1,0.806,0.6,2.6,3.2,5.2,0.8,0.4,1.9,1.8,13.2,23.9,14.1,4.1
