Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jeff Green,PF,30,5.8,0.8,2.3,0.368,0.4,1.5,0.273,0.4,0.8,0.542,0.456,0.2,0.2,1,0.2,0.6,0.8,0.3,0.1,0.1,0.1,0.4,2.2,2.3,8.5,0.2
Jae'Sean Tate,SF,46,8.8,1.2,2.4,0.514,0.2,0.7,0.313,1,1.7,0.597,0.56,0.2,0.2,0.636,0.7,0.9,1.6,0.5,0.2,0.1,0.3,1,2.8,2.3,10.7,0.8
Dorian Finney-Smith,PF,37,16.8,1.2,3.6,0.333,0.7,2.7,0.27,0.5,0.9,0.531,0.436,0.2,0.2,0.889,0.9,1.6,2.5,1,0.4,0.2,0.6,1.6,3.3,12.7,5.8,0.5
Aaron Holiday,PG,57,13.7,1.8,4.4,0.417,1.2,3,0.394,0.7,1.4,0.463,0.55,0.6,0.7,0.854,0.2,0.8,1,1.1,0.5,0.1,0.7,1.3,5.5,2.3,10.1,1.4
Clint Capela,C,75,12.3,1.6,3,0.52,0,0,0.5,1.6,3,0.52,0.522,0.6,1,0.577,2.1,2.5,4.6,0.7,0.5,0.8,0.5,1,3.8,6.7,17.9,3
Steven Adams,C,32,22.8,2.2,4.3,0.504,0,0,,2.2,4.3,0.504,0.504,1.5,2.5,0.58,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,14.1,15.8,2.1
Jabari Smith Jr.,PF,77,35.1,5.7,12.6,0.45,2.3,6.3,0.363,3.4,6.3,0.537,0.541,2.1,2.7,0.775,1.4,5.5,6.9,1.9,0.7,0.9,1.4,2.5,15.8,12.4,13.5,6.6
Kevin Durant,SF,78,36.4,9.2,17.6,0.52,2.4,5.8,0.413,6.8,11.9,0.572,0.588,5.2,6,0.874,0.5,4.9,5.5,4.8,0.8,0.9,3.2,1.8,26,54.7,21.1,10.7
Josh Okogie,SG,78,17.4,1.6,3.8,0.425,0.8,2.1,0.385,0.8,1.7,0.474,0.531,0.5,0.9,0.594,1,1.5,2.6,0.9,0.8,0.2,0.5,1.4,4.5,2.3,9.9,2.7
Tari Eason,PF,60,25.8,4,9.7,0.416,1.6,4.3,0.358,2.5,5.3,0.463,0.496,0.9,1.1,0.776,2.1,4.2,6.3,1.5,1.2,0.5,1.4,2.3,10.5,5.7,12.9,2.9
Alperen ?engün,C,72,33.3,8.1,15.6,0.519,0.6,1.8,0.305,7.5,13.8,0.547,0.537,3.6,5.2,0.691,3,5.9,8.9,6.2,1.2,1.1,3.2,3.3,20.4,33.9,21.4,8
Amen Thompson,PG,79,37.4,7.1,13.2,0.534,0.3,1.5,0.216,6.7,11.7,0.573,0.545,3.8,4.9,0.779,3,4.8,7.8,5.3,1.5,0.6,2.4,2.2,18.3,9.7,18.9,10.3
Reed Sheppard,SG,82,26.2,5,11.5,0.43,2.8,7,0.394,2.2,4.5,0.486,0.55,0.8,1,0.802,0.3,2.6,2.9,3.4,1.5,0.7,1.5,2,13.5,10.6,15.7,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,62,22.4,3.8,8,0.476,1,2.8,0.362,2.8,5.2,0.539,0.524,1.6,2,0.759,1.5,3.1,4.6,2.2,0.8,0.5,1.3,1.7,10.2,13.1,14,4.2
