Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Tony Bradley,C,38,10.9,1.6,2.8,0.557,0,0.1,0.5,1.5,2.7,0.558,0.561,0.8,1.1,0.744,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,4,0.1,12.8,0.9
Isaiah Jackson,C,38,16.8,2.5,4.3,0.582,0,0,0,2.5,4.3,0.585,0.582,1.3,1.9,0.689,2.3,3.3,5.6,0.8,0.7,0.8,1.1,2.8,6.4,7.6,17.3,2.6
Jay Huff,C,82,21,3.5,7.5,0.476,1.5,4.5,0.319,2.1,2.9,0.723,0.574,1,1.2,0.828,0.9,3.1,4,1.5,0.5,1.9,0.9,2.4,9.5,2.3,15.2,3.2
Micah Potter,C,47,19.3,3.2,6.2,0.515,1.5,3.6,0.423,1.7,2.7,0.64,0.637,1.8,2.1,0.842,1.2,3.7,5,1.5,0.5,0.3,1,1.7,9.7,1.5,17,2.6
Jarace Walker,PF,76,25.7,4,9.6,0.419,1.8,4.7,0.374,2.3,5,0.462,0.51,1.8,2.4,0.749,0.6,4.5,5.1,2.5,0.8,0.3,1.8,1.6,11.6,6.7,11.5,0.5
Pascal Siakam,PF,62,33.2,9,18.6,0.484,1.7,4.7,0.358,7.3,13.9,0.527,0.529,4.2,6.1,0.693,1.4,5.2,6.6,3.8,1.1,0.4,2.2,2.4,24,45.6,18.6,2.6
Quenton Jackson,PG,49,18.3,3.1,6.7,0.47,0.9,2.4,0.356,2.3,4.3,0.533,0.534,2,2.4,0.824,0.6,1.8,2.3,2.9,0.6,0.1,1.3,1.7,9.1,0.6,14.4,1.4
T.J. McConnell,PG,56,17.2,4.3,8,0.538,0.3,0.9,0.32,4,7.1,0.565,0.556,0.4,0.5,0.862,0.4,1.8,2.2,5.1,1,0.2,1.1,1.1,9.4,10.2,20.5,2.6
Andrew Nembhard,PG,57,31.3,5.8,13.2,0.442,1.9,5.2,0.361,4,8,0.495,0.513,3.4,4.1,0.825,0.4,2.4,2.8,7.7,0.9,0.1,2.4,2.2,16.9,18.1,15.7,2.8
Aaron Nesmith,SF,45,29.7,4.7,11.4,0.414,2.3,6.2,0.379,2.4,5.2,0.455,0.517,2,2.5,0.829,1.1,3.1,4.2,1.9,0.6,0.5,1.4,2.8,13.8,11,10.8,0.7
Taelon Peter,SG,38,12.9,1.6,4.2,0.38,1.1,3.3,0.328,0.5,0.9,0.576,0.509,0.3,0.4,0.625,0.3,1.3,1.6,1.1,0.7,0.1,0.7,1,4.5,0.6,8.6,0
Johnny Furphy,SG,35,18.4,2,4.3,0.47,0.7,2,0.324,1.3,2.2,0.603,0.547,0.5,1,0.486,0.9,3.5,4.4,1.2,0.6,0.2,0.8,1.9,5.1,1.9,9.2,0.5
Ethan Thompson,SG,32,20.4,2.3,6.1,0.378,1.2,3.6,0.328,1.1,2.5,0.45,0.474,1.2,1.5,0.787,0.5,1.6,2.2,1.8,0.6,0.3,0.8,2.2,7,0.5,8.3,0.3
Ben Sheppard,SG,65,21.4,2.6,6,0.434,1.3,3.6,0.362,1.3,2.4,0.542,0.543,0.6,0.8,0.765,0.7,2.3,3,1.8,0.6,0.1,0.6,1.8,7.1,2.8,9.7,1.4
Kam Jones,SG,37,16.6,1.8,4.6,0.402,0.6,2,0.293,1.2,2.5,0.489,0.467,0.1,0.2,0.5,0.4,1.2,1.6,3.2,0.5,0,1,1.1,4.4,1.3,8.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,50,20.9,3.5,7.6,0.458,1.1,3.1,0.359,2.4,4.4,0.533,0.537,1.4,1.9,0.759,0.9,2.7,3.6,2.5,0.7,0.4,1.2,1.9,9.5,7.4,13.2,1.5
