Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Bronny James,SG,42,8.9,1.1,2.7,0.409,0.5,1.4,0.386,0.6,1.4,0.431,0.504,0.1,0.2,0.857,0.1,0.4,0.5,1.2,0.5,0.1,0.6,0.7,2.9,2,9,0.1
Nick Smith Jr.,SG,30,12.5,2.3,5.4,0.435,1.1,2.9,0.395,1.2,2.5,0.48,0.54,0.4,0.5,0.733,0.1,0.7,0.8,1,0.3,0.1,0.7,0.9,6.2,2.7,10.2,0.1
Dalton Knecht,SF,54,10.2,1.6,3.5,0.455,0.7,2.1,0.342,0.9,1.5,0.613,0.555,0.3,0.4,0.727,0.3,1.1,1.4,0.4,0.2,0.2,0.4,0.8,4.2,4,10.1,0.4
Maxi Kleber,PF,43,10.7,0.8,1.7,0.452,0.1,0.6,0.231,0.6,1.1,0.574,0.493,0.3,0.6,0.538,0.8,1.1,2,0.6,0.4,0.3,0.4,1.4,2,11,8.1,0.6
Jarred Vanderbilt,PF,65,17.4,1.7,3.7,0.471,0.4,1.5,0.293,1.3,2.2,0.596,0.531,0.5,0.9,0.589,1.2,3.3,4.5,1.3,0.8,0.3,0.9,1.6,4.4,11.6,11.2,1.8
Rui Hachimura,PF,68,28.3,4.5,8.8,0.514,1.7,3.9,0.443,2.8,4.9,0.57,0.611,0.7,1.1,0.694,0.6,2.7,3.3,0.8,0.6,0.3,0.6,1.6,11.5,18.3,11.6,3.2
Marcus Smart,SG,62,28.5,3,7.7,0.395,1.6,4.7,0.331,1.5,3,0.497,0.497,1.7,2.1,0.822,0.6,2.2,2.8,3,1.4,0.4,1.5,2.6,9.3,5.1,9.9,2
Austin Reaves,SG,51,34.5,7.3,14.9,0.49,2.3,6.4,0.36,5,8.5,0.588,0.567,6.3,7.3,0.871,0.6,4.1,4.7,5.5,1.1,0.4,3,2.2,23.3,13.9,20.2,5.6
Jake LaRavia,PF,82,25.1,2.9,6.4,0.459,1,3,0.321,2,3.4,0.579,0.533,1.4,1.9,0.763,1.4,2.6,4,1.8,1.3,0.5,1.1,2.4,8.2,6,11.9,3.8
Luka Don?i?,PG,64,35.8,10.8,22.8,0.476,4,10.8,0.366,6.9,11.9,0.575,0.563,7.9,10.1,0.78,0.6,7.1,7.7,8.3,1.6,0.5,4,2.4,33.5,46,27.9,9.5
LeBron James,SF,60,33.2,7.9,15.3,0.515,1.3,4.1,0.317,6.6,11.3,0.586,0.557,3.9,5.3,0.737,0.7,5.4,6.1,7.2,1.2,0.6,3,1.4,20.9,52.6,20.8,5.4
Jaxson Hayes,C,66,18.3,3,4,0.756,0,0,,3,3.9,0.753,0.761,1.5,2.3,0.653,1.5,2.6,4.1,0.9,0.4,0.8,0.5,1.9,7.5,3.4,18.3,5
Deandre Ayton,C,72,27.2,5.6,8.3,0.671,0,0,,5.6,8.3,0.671,0.671,1.3,2,0.645,2.6,5.4,8,0.8,0.6,1,1.2,2.2,12.5,8.1,18.2,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,57,18.1,3.4,5.5,0.618,1.1,3.2,0.344,3.1,4.9,0.633,0.588,0.7,1.1,0.636,1.4,2.9,4.3,1,0.6,0.6,0.9,1.5,7.7,5.1,13.6,3.2
