Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jock Landale,C,45,23.6,4.4,8.6,0.514,1.1,2.9,0.38,3.4,5.8,0.581,0.577,1.3,2,0.674,3.1,3.4,6.5,1.7,0.6,0.5,1,2.3,11.3,2.3,16.6,3.8
GG Jackson II,PF,55,21.4,4.6,9.3,0.496,1.2,3.5,0.332,3.5,5.8,0.595,0.558,2,2.7,0.742,0.9,3.4,4.3,1.5,0.6,0.8,1.5,1.4,12.5,2.2,15.6,1.3
Cedric Coward,SG,62,25.8,4.9,10.5,0.471,1.5,4.4,0.338,3.4,6,0.568,0.542,2.3,2.7,0.843,1.3,4.5,5.9,2.8,0.6,0.4,1.7,2,13.6,5.7,15.3,2.5
Cam Spencer,SG,72,23.8,3.7,7.7,0.473,2,4.5,0.449,1.6,3.2,0.506,0.604,1.8,1.9,0.94,0.6,2,2.5,5.6,0.7,0.2,1.3,1.4,11.1,2.5,17.2,5.3
Javon Small,PG,41,20.2,3.3,7,0.465,1.5,3.5,0.423,1.8,3.6,0.507,0.569,1.7,2,0.829,0.9,2.2,3.1,3.7,0.8,0.2,1.4,1.6,9.7,0.6,16.1,1.9
Vince Williams Jr.,PG,34,21.6,2.7,7.8,0.352,1.4,4.7,0.308,1.3,3.1,0.419,0.445,1.1,1.4,0.804,1,3,4,4.4,0.8,0.4,1.9,2.1,8,2.3,10.7,0.1
Kentavious Caldwell-Pope,SG,51,21.3,2.9,7.2,0.41,1.1,3.4,0.316,1.9,3.8,0.495,0.485,1.4,1.6,0.913,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,8.4,21.6,11,0.7
Olivier-Maxence Prosper,PF,53,18.6,3.6,6.6,0.549,1.1,2.8,0.405,2.5,3.8,0.653,0.634,1.6,2.2,0.754,1.1,2.4,3.5,1,0.8,0.2,0.9,1.6,10,1,16.9,2.4
Santi Aldama,PF,43,27.9,5.3,11.1,0.479,1.6,4.7,0.35,3.7,6.4,0.572,0.553,1.8,2.7,0.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14,18.5,16.3,2.3
Jaylen Wells,SG,69,26.4,4.4,10.1,0.431,1.9,5.3,0.353,2.5,4.8,0.517,0.524,1.9,2.5,0.784,0.9,2.3,3.2,1.6,0.9,0.1,1.1,2.1,12.5,2,11.5,1.6
John Konchar,SG,30,14.5,1.2,2.4,0.521,0.4,1.3,0.333,0.8,1.1,0.75,0.613,0.3,0.4,0.615,0.7,2.4,3.1,1.3,1,0.4,0.5,1,3.2,6.2,13.6,2.4
Jaren Jackson Jr.,C,45,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1,1.5,2.2,3.8,19.2,35,15.7,1.4
Jahmai Mashack,SG,31,21.7,2.5,6.3,0.395,0.6,2.4,0.253,1.9,3.9,0.483,0.444,0.6,1.1,0.543,0.7,1.9,2.6,2.2,1.2,0.5,1.6,2.2,6.2,0.3,7,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,38,22.7,3.5,7.5,0.467,0.9,2.7,0.333,2.7,4.9,0.551,0.511,1,1.6,0.625,1.9,2.7,4.6,2,0.9,0.5,1.3,2.3,8.8,1.3,11.8,1.7
