Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Toby Okani,SG,6,36.2,4.2,11.7,0.357,1.5,5.2,0.29,2.7,6.5,0.41,0.421,0.2,1.3,0.125,1.5,2,3.5,1,0.7,0.5,0.5,3.3,10
Lucas Williamson,SG,7,32,3.6,10.7,0.333,2.1,7.6,0.283,1.4,3.1,0.455,0.433,1.1,1.1,1,1.6,3.9,5.4,2.6,1.6,0.1,1.4,3.7,10.4
Rayan Rupert,SG,16,30.9,4.4,10.4,0.422,1.4,4.1,0.338,3,6.3,0.475,0.488,2.1,2.5,0.825,1.6,4.8,6.4,2.1,1.6,0.4,1.7,4,12.2
Jaren Jackson Jr.,C,45,30.7,7.1,14.9,0.475,1.8,4.9,0.359,5.3,10,0.531,0.534,3.3,4.2,0.797,0.9,4.8,5.8,1.9,1,1.5,2.2,3.8,19.2
Dariq Whitehead,SF,6,30.5,6.2,15.5,0.398,3.2,10,0.317,3,5.5,0.545,0.5,0.8,1.2,0.714,0.3,3.7,4,1.5,0.7,0,1.7,2.2,16.3
Adama-Alpha Bal,SG,8,30.1,3.5,8.5,0.412,2.3,5.5,0.409,1.3,3,0.417,0.544,1.1,1.3,0.9,0.8,2.4,3.1,2.4,1.1,0.1,0.8,3.4,10.4
Ja Morant,PG,20,28.5,6.6,16.1,0.41,1,4.3,0.235,5.6,11.9,0.473,0.441,5.3,5.9,0.897,0.4,2.9,3.3,8.1,1,0.3,3.6,2,19.5
Santi Aldama,PF,43,27.9,5.3,11.1,0.479,1.6,4.7,0.35,3.7,6.4,0.572,0.553,1.8,2.7,0.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14
Jaylen Wells,SG,69,26.4,4.4,10.1,0.431,1.9,5.3,0.353,2.5,4.8,0.517,0.524,1.9,2.5,0.784,0.9,2.3,3.2,1.6,0.9,0.1,1.1,2.1,12.5
Zach Edey,C,11,25.8,5.6,8.9,0.633,0.1,0.5,0.2,5.5,8.5,0.656,0.638,2.3,2.9,0.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6
Cedric Coward,SG,62,25.8,4.9,10.5,0.471,1.5,4.4,0.338,3.4,6,0.568,0.542,2.3,2.7,0.843,1.3,4.5,5.9,2.8,0.6,0.4,1.7,2,13.6
Tyler Burton,SF,12,25.6,3.5,9.3,0.375,1.8,5.5,0.333,1.7,3.8,0.435,0.473,1.9,2.3,0.852,0.7,3.5,4.2,1,0.9,0.3,0.9,2.6,10.8
Walter Clayton,PG,24,25,3.1,8.5,0.366,1.3,4.2,0.307,1.8,4.3,0.423,0.441,2.1,2.5,0.864,0.4,1.7,2.1,5.7,0.8,0.3,2.5,1.7,9.7
Lawson Lovering,C,2,24.5,3,5,0.6,0,0,,3,5,0.6,0.6,1,2.5,0.4,3,4.5,7.5,1.5,1.5,0.5,1,3.5,7
Taylor Hendricks,PF,26,24.1,4,8.7,0.463,1.5,4.4,0.342,2.5,4.3,0.584,0.548,1,1.5,0.65,1.4,3.3,4.7,1.2,1.4,0.8,1.2,2.3,10.6
Cam Spencer,SG,72,23.8,3.7,7.7,0.473,2,4.5,0.449,1.6,3.2,0.506,0.604,1.8,1.9,0.94,0.6,2,2.5,5.6,0.7,0.2,1.3,1.4,11.1
Jock Landale,C,45,23.6,4.4,8.6,0.514,1.1,2.9,0.38,3.4,5.8,0.581,0.577,1.3,2,0.674,3.1,3.4,6.5,1.7,0.6,0.5,1,2.3,11.3
Ty Jerome,SG,15,22.6,6.8,14.3,0.474,2.8,6.7,0.42,4,7.7,0.522,0.572,3.3,3.7,0.875,0.7,2.1,2.8,5.7,1.1,0.3,1.8,2.1,19.7
Kyle Anderson,SF,4,22.3,3.8,4.8,0.789,0.3,0.3,1,3.5,4.5,0.778,0.816,1.5,2,0.75,0.8,2.8,3.5,0.8,1.5,1,1.8,3,9.3
Jahmai Mashack,SG,31,21.7,2.5,6.3,0.395,0.6,2.4,0.253,1.9,3.9,0.483,0.444,0.6,1.1,0.543,0.7,1.9,2.6,2.2,1.2,0.5,1.6,2.2,6.2
Vince Williams Jr.,PG,34,21.6,2.7,7.8,0.352,1.4,4.7,0.308,1.3,3.1,0.419,0.445,1.1,1.4,0.804,1,3,4,4.4,0.8,0.4,1.9,2.1,8
GG Jackson II,PF,55,21.4,4.6,9.3,0.496,1.2,3.5,0.332,3.5,5.8,0.595,0.558,2,2.7,0.742,0.9,3.4,4.3,1.5,0.6,0.8,1.5,1.4,12.5
Kentavious Caldwell-Pope,SG,51,21.3,2.9,7.2,0.41,1.1,3.4,0.316,1.9,3.8,0.495,0.485,1.4,1.6,0.913,0.4,2.1,2.5,2.7,0.8,0.2,1.2,1.1,8.4
Scotty Pippen Jr.,PG,10,21.2,4.3,9.6,0.448,1,3.2,0.313,3.3,6.4,0.516,0.5,1.8,2.3,0.783,0.8,1.4,2.2,4.7,1.9,0.4,2.7,3.1,11.4
DeJon Jarreau,SG,11,21,3,7.5,0.398,0.4,2.7,0.133,2.6,4.8,0.547,0.422,1.6,2.1,0.783,1.1,3.5,4.6,3.3,0.9,0.7,2.4,2.5,8
Javon Small,PG,41,20.2,3.3,7,0.465,1.5,3.5,0.423,1.8,3.6,0.507,0.569,1.7,2,0.829,0.9,2.2,3.1,3.7,0.8,0.2,1.4,1.6,9.7
