Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Myron Gardner,SF,45,9.1,1.3,2.7,0.48,0.6,1.4,0.406,0.7,1.3,0.559,0.585,0.4,0.6,0.731,0.9,1.8,2.7,1,0.4,0.2,0.4,1.7,3.6,0.4,15.2,1.4
Keshad Johnson,SF,32,8.8,1.6,3.3,0.49,0.4,1.4,0.295,1.2,1.9,0.633,0.553,0.7,0.9,0.724,0.8,1.1,1.9,0.3,0.5,0.3,0.4,0.9,4.3,2,15.2,0.6
Davion Mitchell,PG,70,28.6,3.7,7.6,0.49,1.3,3.3,0.395,2.4,4.4,0.561,0.574,0.6,0.9,0.646,0.5,2.2,2.7,6.5,1,0.2,1.5,2.6,9.3,11.6,12.1,4.3
Kel'el Ware,C,77,22.1,4.5,8.4,0.53,1.2,3,0.395,3.3,5.4,0.606,0.601,0.9,1.2,0.74,2.8,6.2,9,0.7,0.8,1.1,0.8,1.5,11.1,4.4,20,6.2
Kasparas Jaku?ionis,PG,53,17.8,1.9,4.5,0.429,1.2,2.9,0.423,0.7,1.5,0.439,0.567,1.1,1.2,0.879,0.8,1.8,2.6,2.6,0.6,0.1,0.9,1.9,6.2,3.7,11.9,2.3
Simone Fontecchio,SF,70,16.8,2.8,6.7,0.412,1.8,4.7,0.375,1,2,0.497,0.542,1.2,1.5,0.843,0.8,2.2,3,1.4,0.5,0.1,0.7,1.5,8.5,8.3,13.8,2.6
Dru Smith,SG,70,16.3,1.9,4.6,0.415,0.5,1.8,0.295,1.4,2.8,0.495,0.474,1.2,1.5,0.829,0.9,1.6,2.5,2.6,1.4,0.3,0.8,1.6,5.6,2.4,14.5,3
Nikola Jovi?,PF,47,17.2,2.4,6.7,0.366,1,3.6,0.269,1.5,3.1,0.476,0.438,1.5,2.1,0.683,0.5,2.7,3.3,2.2,0.6,0.4,1.4,1.4,7.3,4.4,9.5,0
Andrew Wiggins,SF,68,30.3,5.7,12.1,0.475,2,4.9,0.414,3.7,7.2,0.516,0.559,1.9,2.4,0.784,1.7,3.1,4.8,2.7,1.1,1,1.5,2.3,15.4,28.2,15.1,4.6
Jaime Jaquez Jr.,SF,75,28.3,6.2,12.2,0.507,0.8,2.4,0.317,5.4,9.8,0.555,0.539,2.2,2.9,0.769,1.3,3.7,5,4.7,0.7,0.3,2,1.8,15.4,3.9,15.7,4.2
Pelle Larsson,SG,70,26.4,4,8,0.496,0.9,2.7,0.323,3.1,5.2,0.586,0.551,2.6,3.3,0.797,1,2.5,3.5,3.4,0.7,0.2,1.4,2.1,11.4,1.9,13.1,4.1
Tyler Herro,SG,33,31.3,7.5,15.6,0.48,2.5,6.7,0.378,4.9,8.9,0.556,0.561,3,3.3,0.917,0.4,4.4,4.8,4.1,0.7,0.4,1.9,1.9,20.5,31,17.1,2.4
Norman Powell,SG,58,29.6,7.3,15.4,0.47,2.7,7.1,0.38,4.6,8.4,0.546,0.558,4.5,5.5,0.827,0.4,3.1,3.5,2.5,1.1,0.2,1.9,2.2,21.7,20.5,17.5,4
Bam Adebayo,C,73,32.4,6.9,15.7,0.442,1.7,5.5,0.318,5.2,10.2,0.509,0.497,4.5,5.8,0.778,2,8,10,3.2,1.2,0.7,1.6,1.7,20.1,37.1,18.7,6.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,59,20.8,4.1,9.2,0.446,1.2,3.5,0.343,3,5.8,0.517,0.541,2.5,3.2,0.781,1.5,4.9,6.4,2.1,0.8,0.5,1,1.7,11.9,18.8,17,3.9
