Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Trey Murphy III,SF,66,35.5,7.5,15.9,0.47,3.2,8.6,0.379,4.2,7.3,0.577,0.572,3.3,3.7,0.886,1,4.8,5.7,3.8,1.5,0.4,1.8,2.1,21.5
Saddiq Bey,SF,72,31.2,6.1,13.4,0.451,2.1,5.7,0.367,4,7.7,0.514,0.529,3.4,4.1,0.841,1.7,3.9,5.6,2.5,0.9,0.1,0.9,1.3,17.7
Zion Williamson,PF,62,29.7,7.8,13,0.6,0,0.1,0.25,7.8,13,0.601,0.6,5.4,7.5,0.716,2,3.7,5.7,3.2,1,0.5,2,2.3,21
Herbert Jones,SF,56,28.4,3.3,8.5,0.383,1.4,4.6,0.309,1.8,3.9,0.47,0.467,0.9,1.1,0.806,0.8,2.6,3.4,2.8,1.6,0.5,1.3,3.2,8.9
Dejounte Murray,PG,14,27.8,6.3,13,0.484,1.4,4.4,0.306,4.9,8.6,0.575,0.536,2.8,3.2,0.867,0.3,5.1,5.4,6.4,1.6,0.2,3.4,2.4,16.7
Josh Oduro,PF,3,27.3,3.7,5.7,0.647,0,0.7,0,3.7,5,0.733,0.647,1,2,0.5,3.7,4,7.7,1.3,0,0,0.7,4.7,8.3
Jeremiah Fears,PG,82,25.8,5.3,12.3,0.434,1.2,3.7,0.33,4.1,8.5,0.48,0.485,2.4,3,0.789,0.7,2.9,3.7,3.4,1.2,0.4,2.2,1.8,14.3
Derik Queen,C,81,25,4.4,9.2,0.473,0.3,1.1,0.261,4.1,8.1,0.502,0.489,2.7,3.4,0.795,1.7,5.4,7.1,3.7,1,0.9,2.3,2.7,11.7
Jordan Poole,PG,39,23.9,4.2,11.4,0.372,2.5,7.4,0.333,1.8,4,0.442,0.48,2.5,2.9,0.86,0.2,1.7,2,3.1,0.6,0.4,1.8,2.3,13.4
Jose Alvarado,PG,41,21.9,2.9,6.8,0.418,1.7,4.7,0.363,1.1,2.1,0.54,0.543,0.5,0.6,0.833,0.4,2.4,2.8,3.1,0.9,0.1,1.1,2,7.9
Bryce McGowens,SG,42,21,2.7,5.6,0.481,0.9,2.2,0.409,1.8,3.4,0.528,0.561,1.8,2.3,0.779,0.3,1.8,2.1,1.5,0.6,0.2,0.4,2.1,8.1
Yves Missi,C,66,19.7,2.4,4.5,0.544,0,0,0,2.4,4.4,0.546,0.544,0.9,1.5,0.559,2.8,3.1,5.8,1.3,0.3,1.5,0.8,1.7,5.7
DeAndre Jordan,C,12,16.6,1.8,2.7,0.656,0,0,,1.8,2.7,0.656,0.656,0.9,1.4,0.647,2.2,4.2,6.3,0.9,0.3,0.8,0.8,1.3,4.4
Micah Peavy,SG,61,15,1.7,4.5,0.385,0.5,1.8,0.259,1.3,2.7,0.467,0.436,0.4,0.5,0.759,0.8,1.2,1.9,1,0.7,0.1,0.3,1.6,4.3
Karlo Matkovi?,PF,62,14.7,2.3,3.8,0.604,0.6,1.5,0.422,1.7,2.3,0.717,0.685,0.5,0.7,0.732,1.2,2.5,3.7,0.8,0.4,0.9,0.5,1.7,5.7
Kevon Looney,C,21,14.7,1.2,2.9,0.417,0.1,0.6,0.154,1.1,2.2,0.489,0.433,0.3,0.5,0.7,2.3,3.3,5.6,1.6,0.4,0.5,0.4,1.6,2.8
Jordan Hawkins,SG,51,13.6,1.8,5,0.366,0.9,2.6,0.348,0.9,2.4,0.385,0.457,0.5,0.5,0.852,0.4,1.3,1.7,0.8,0.3,0.2,0.7,0.6,5.1
Trey Alexander,SG,9,12.3,2.1,4.1,0.514,0.7,1.3,0.5,1.4,2.8,0.52,0.595,0.3,0.6,0.6,0.1,1.1,1.2,1,0.7,0.2,0.3,1.4,5.2
Hunter Dickinson,C,5,8.4,1,2.8,0.357,0,0.8,0,1,2,0.5,0.357,0.4,0.4,1,0.4,0.6,1,0.4,0.2,0.4,0.6,1.2,2.4
