Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Brooks Barnhizer,SG,40,8.7,0.7,1.8,0.38,0.2,0.6,0.292,0.5,1.2,0.426,0.43,0.2,0.3,0.7,0.5,1.5,2,0.6,0.3,0.1,0.3,0.7,1.7,0.6,7.9,0.6
Chris Youngblood,SG,32,5.4,0.6,1.9,0.333,0.5,1.6,0.314,0.1,0.3,0.444,0.467,0.3,0.3,0.9,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.6,2,0.8,10.4,0.5
Branden Carlson,C,42,11.6,2.3,4.4,0.527,0.7,2,0.36,1.6,2.4,0.67,0.61,0.4,0.6,0.577,0.7,2.3,3,0.7,0.2,0.6,0.4,0.9,5.8,0.1,17.7,1.7
Luguentz Dort,SF,69,26.8,2.9,7.6,0.385,1.9,5.4,0.344,1.1,2.2,0.487,0.508,0.6,0.8,0.759,0.8,2.7,3.6,1.2,0.9,0.4,0.8,2.6,8.3,18.2,8.3,3
Kenrich Williams,PF,56,15.3,2.5,5.3,0.473,0.9,2.3,0.388,1.6,3,0.539,0.557,0.6,0.9,0.635,1.1,2.3,3.3,1.4,0.6,0.1,0.8,1.1,6.5,7.2,14.2,2.3
Alex Caruso,SG,56,18.2,2.3,5.4,0.423,0.9,3.2,0.293,1.3,2.1,0.622,0.512,0.7,0.9,0.804,0.5,2.3,2.8,2,1.3,0.3,0.9,1.2,6.2,18.1,12.8,2.5
Cason Wallace,SG,77,26.6,3.3,7.6,0.432,1.3,3.7,0.351,2,3.8,0.51,0.518,0.7,0.9,0.809,0.8,2.3,3.1,2.6,1.9,0.4,0.9,2,8.6,5.8,12.1,5.2
Aaron Wiggins,SG,65,21.8,3.6,8.2,0.431,1.5,4.2,0.356,2.1,4.1,0.508,0.521,0.8,1.1,0.736,0.6,2.4,3.1,1.7,0.9,0.4,1.2,1.3,9.4,10.1,11.7,2.1
Jaylin Williams,PF,65,19.6,2.3,5.4,0.423,1.5,3.9,0.383,0.8,1.5,0.531,0.563,1.1,1.4,0.793,0.5,5,5.5,2.4,0.5,0.6,1,2,7.2,8.5,13.8,4.1
Isaiah Joe,SG,71,21.2,3.5,7.6,0.455,2.5,6,0.423,0.9,1.6,0.574,0.622,1.5,1.7,0.894,0.5,2.1,2.5,1.3,0.7,0.2,0.6,1.7,11.1,12.4,15.5,5.5
Isaiah Hartenstein,C,47,24.2,3.9,6.3,0.622,0,0.1,0,3.9,6.1,0.637,0.622,1.4,2.2,0.61,3.2,6.3,9.4,3.5,1,0.8,1.7,2.5,9.2,28.5,19.8,5.3
Ajay Mitchell,SG,57,25.8,5,10.4,0.485,1.1,3.1,0.347,3.9,7.3,0.543,0.536,2.5,2.8,0.87,0.7,2.6,3.3,3.6,1.2,0.3,1.4,2.1,13.6,3,16.8,4.8
Jalen Williams,SG,33,28.4,6.5,13.5,0.484,0.7,2.3,0.299,5.8,11.2,0.523,0.51,3.3,3.9,0.837,0.8,3.8,4.6,5.5,1.2,0.3,1.9,2,17.1,6.6,19,3
Chet Holmgren,PF,69,28.9,6.3,11.3,0.557,1.3,3.5,0.362,5,7.8,0.646,0.614,3.3,4.1,0.792,1.9,7,8.9,1.7,0.6,1.9,1.6,2.3,17.1,13.7,21.6,9.1
Shai Gilgeous-Alexander,PG,68,33.2,10.8,19.4,0.553,1.7,4.4,0.386,9.1,15,0.602,0.597,7.9,9,0.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2,31.1,38.3,30.8,15.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,54,21,5.8,10.6,0.547,1.1,3.1,0.355,4.8,8.1,0.593,0.514,4.1,4.7,0.872,0.6,2.6,3.2,3.6,0.9,0.5,1.3,1.4,16.4,19.5,19.4,7.9
