Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Moritz Wagner,C,36,11.9,2.3,5.4,0.426,0.6,1.9,0.314,1.7,3.5,0.488,0.482,1.6,2,0.819,0.8,2.4,3.2,0.8,0.4,0.1,0.5,1.6,6.9,5,15.3,0.9
Wendell Carter Jr.,C,78,29.3,4.2,8.2,0.512,0.9,2.9,0.319,3.3,5.3,0.618,0.568,2.5,3.2,0.792,2.1,5.3,7.4,2,0.8,0.6,1.3,3.4,11.8,10.9,14.1,6.2
Goga Bitadze,C,64,15.2,2.4,3.5,0.676,0,0.2,0.182,2.3,3.3,0.701,0.68,1.1,1.5,0.711,2.1,2.9,5,1.3,0.6,1,0.7,2.1,5.9,8.3,20.1,4.4
Jonathan Isaac,PF,52,10,0.9,2.1,0.422,0.1,0.7,0.184,0.8,1.4,0.549,0.454,0.7,1.1,0.603,0.8,1.7,2.5,0.4,0.4,0.6,0.3,0.8,2.6,15,11.5,0.9
Paolo Banchero,PF,72,34.8,7.3,16,0.459,1.2,3.8,0.305,6.2,12.2,0.507,0.496,6.3,8.2,0.775,1.2,7.2,8.4,5.2,0.7,0.6,3.1,2,22.2,15.3,17.6,5
Tyus Jones,PG,48,15.7,1.1,3.3,0.342,0.6,2.1,0.294,0.5,1.2,0.429,0.437,0.1,0.1,1,0.2,0.9,1.1,2.4,0.7,0.1,0.3,0.5,3,7,8.3,1
Jalen Suggs,PG,57,27.6,4.9,11.4,0.435,2.1,6.3,0.339,2.8,5.1,0.554,0.529,1.8,2.1,0.855,0.6,3.2,3.9,5.5,1.8,0.7,2.7,2.5,13.8,35,15.6,2.7
Anthony Black,PG,64,29.8,5.4,12.1,0.447,1.6,4.7,0.333,3.8,7.4,0.519,0.512,2.6,3.6,0.732,0.7,3.1,3.8,3.7,1.4,0.7,2.1,2.7,15,8,13.7,2.6
Jamal Cain,SF,40,12.2,1.9,3.8,0.487,0.7,1.8,0.384,1.2,2,0.582,0.579,1,1.2,0.848,0.7,1.3,2,0.7,0.3,0.1,0.5,1.3,5.4,0.3,13,1.2
Jett Howard,SF,55,12.6,1.9,4.6,0.418,1,2.6,0.372,0.9,1.9,0.481,0.526,0.7,0.7,0.949,0.4,1.2,1.6,0.8,0.2,0.2,0.3,1.2,5.5,5.5,11.2,1.3
Tristan Da Silva,SF,77,24.7,3.6,8.1,0.45,1.6,4.2,0.374,2.1,3.9,0.532,0.547,1.1,1.2,0.884,0.8,2.9,3.7,1.6,0.9,0.3,0.9,1.5,9.9,3.8,12,3.3
Noah Penda,SF,59,12.8,1.4,3.4,0.404,0.5,1.6,0.323,0.9,1.9,0.473,0.478,0.6,0.8,0.688,1.1,2,3.2,1.2,0.5,0.3,0.7,1.2,3.8,1.3,11.3,1.1
Franz Wagner,SF,34,30,7.2,14.9,0.481,1.4,4.1,0.345,5.8,10.8,0.533,0.529,4.8,5.8,0.823,1.3,3.9,5.2,3.3,0.9,0.3,1.7,2.1,20.6,38.7,19.2,2.8
Jase Richardson,SG,54,10.9,1.6,3.5,0.473,0.5,1.5,0.354,1.1,2,0.56,0.548,0.6,0.9,0.717,0.4,0.8,1.2,1.1,0.4,0,0.5,1,4.4,3,11.5,1
Desmond Bane,SG,82,33.6,7.1,14.7,0.484,2,5.2,0.391,5.1,9.5,0.535,0.553,3.8,4.2,0.908,1.2,2.9,4.1,4.1,1,0.5,2,3.1,20.1,36.7,16.9,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,58,20.7,3.5,7.7,0.463,1,2.9,0.339,2.6,4.8,0.539,0.528,2,2.4,0.801,1,2.8,3.8,2.3,0.7,0.4,1.2,1.8,10.1,12.9,14.1,2.8
