Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jared McCain,SG,37,16.8,2.4,6.2,0.385,1.2,3.2,0.378,1.2,3,0.393,0.483,0.6,0.7,0.88,0.2,1.9,2,1.7,0.6,0.1,0.8,1.2,6.6,4.2,11.6,1.5
Justin Edwards,SF,64,15.3,2.2,5,0.447,1,2.8,0.372,1.2,2.2,0.543,0.552,0.5,0.6,0.846,0.4,1.1,1.5,1.3,0.8,0.2,0.6,1.4,6,2,12.1,1.7
Jabari Walker,PF,64,11.9,1.5,3.3,0.455,0.5,1.5,0.337,1,1.8,0.551,0.531,0.8,1.1,0.735,1.1,1.9,3,0.5,0.4,0.2,0.4,1.6,4.3,0.7,12.5,1.7
Andre Drummond,C,63,19.5,2.5,5.3,0.472,0.5,1.4,0.356,2,3.9,0.514,0.519,0.8,1.3,0.631,3.2,5.3,8.4,1.3,0.6,0.8,1,2,6.4,5,16.4,3.4
Trendon Watford,PF,53,16.3,2.6,5.1,0.515,0.2,0.9,0.2,2.4,4.1,0.587,0.534,1.1,1.5,0.779,0.7,2.6,3.3,2.5,0.3,0.4,1.2,2,6.5,2.5,13.1,1.4
Dominick Barlow,PF,71,23.8,3,5.6,0.539,0.3,1.2,0.256,2.7,4.5,0.612,0.565,1.3,1.8,0.718,1.9,2.9,4.8,1.2,0.9,0.7,0.8,2.1,7.7,3.4,13.2,3.9
Quentin Grimes,SG,75,29.4,4.5,10.1,0.45,1.7,5.1,0.334,2.8,5,0.568,0.534,2.7,3.2,0.84,0.6,3,3.6,3.3,0.9,0.4,1.8,2.1,13.4,8.7,12.9,3.6
Joel Embiid,C,38,31.6,9,18.3,0.489,1.4,4.2,0.333,7.6,14.2,0.535,0.527,7.5,8.8,0.854,2,5.7,7.7,3.9,0.6,1.2,2.9,2.2,26.9,55.2,24.7,4.1
Adem Bona,C,71,17.4,1.8,3.1,0.595,0,0.1,0.333,1.8,3,0.603,0.6,1.1,1.6,0.708,1.8,2.5,4.3,0.5,0.4,1.2,0.8,2.2,4.8,1.9,12.8,2.9
Tyrese Maxey,PG,70,38,9.9,21.4,0.462,3.1,8.6,0.367,6.8,12.9,0.525,0.536,5.3,6,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,2.2,28.3,37.9,21.9,8.7
Paul George,PF,37,30.7,6.1,13.9,0.439,2.7,6.9,0.392,3.4,7,0.484,0.536,2.5,3,0.82,0.5,4.8,5.3,3.6,1.7,0.4,1.7,2.3,17.3,51.7,16.7,2.5
Kelly Oubre Jr.,SF,50,31.5,5.1,10.9,0.467,1.7,4.8,0.36,3.4,6.1,0.551,0.546,2.2,2.9,0.766,1,4,5,1.6,1.4,0.5,1.4,2.5,14.1,8.4,13,2.7
VJ Edgecombe,SG,75,35,6,13.7,0.438,2,5.6,0.354,4,8.1,0.496,0.51,2,2.4,0.818,1.6,4,5.6,4.2,1.4,0.5,1.8,2.9,16,11.1,14,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,56,25.9,4.2,10,0.42,1.3,3.6,0.361,2.6,5.6,0.464,0.497,1.3,1.6,0.813,0.9,3,3.9,3,1,0.3,1.3,2.1,11.3,7.7,12.8,3
