Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyrese Maxey,PG,70,38,9.9,21.4,0.462,3.1,8.6,0.367,6.8,12.9,0.525,0.536,5.3,6,0.892,0.3,3.8,4.1,6.6,1.9,0.8,2.4,2.2,28.3
VJ Edgecombe,SG,75,35,6,13.7,0.438,2,5.6,0.354,4,8.1,0.496,0.51,2,2.4,0.818,1.6,4,5.6,4.2,1.4,0.5,1.8,2.9,16
Joel Embiid,C,38,31.6,9,18.3,0.489,1.4,4.2,0.333,7.6,14.2,0.535,0.527,7.5,8.8,0.854,2,5.7,7.7,3.9,0.6,1.2,2.9,2.2,26.9
Kelly Oubre Jr.,SF,50,31.5,5.1,10.9,0.467,1.7,4.8,0.36,3.4,6.1,0.551,0.546,2.2,2.9,0.766,1,4,5,1.6,1.4,0.5,1.4,2.5,14.1
Paul George,PF,37,30.7,6.1,13.9,0.439,2.7,6.9,0.392,3.4,7,0.484,0.536,2.5,3,0.82,0.5,4.8,5.3,3.6,1.7,0.4,1.7,2.3,17.3
Quentin Grimes,SG,75,29.4,4.5,10.1,0.45,1.7,5.1,0.334,2.8,5,0.568,0.534,2.7,3.2,0.84,0.6,3,3.6,3.3,0.9,0.4,1.8,2.1,13.4
Dominick Barlow,PF,71,23.8,3,5.6,0.539,0.3,1.2,0.256,2.7,4.5,0.612,0.565,1.3,1.8,0.718,1.9,2.9,4.8,1.2,0.9,0.7,0.8,2.1,7.7
Andre Drummond,C,63,19.5,2.5,5.3,0.472,0.5,1.4,0.356,2,3.9,0.514,0.519,0.8,1.3,0.631,3.2,5.3,8.4,1.3,0.6,0.8,1,2,6.4
Adem Bona,C,71,17.4,1.8,3.1,0.595,0,0.1,0.333,1.8,3,0.603,0.6,1.1,1.6,0.708,1.8,2.5,4.3,0.5,0.4,1.2,0.8,2.2,4.8
Cameron Payne,PG,22,17,2.5,6.8,0.376,1.5,4.4,0.33,1.1,2.4,0.462,0.483,0.9,1,0.864,0.1,1.9,2,2.6,1.1,0.3,0.5,1.4,7.4
Jared McCain,SG,37,16.8,2.4,6.2,0.385,1.2,3.2,0.378,1.2,3,0.393,0.483,0.6,0.7,0.88,0.2,1.9,2,1.7,0.6,0.1,0.8,1.2,6.6
Trendon Watford,PF,53,16.3,2.6,5.1,0.515,0.2,0.9,0.2,2.4,4.1,0.587,0.534,1.1,1.5,0.779,0.7,2.6,3.3,2.5,0.3,0.4,1.2,2,6.5
Justin Edwards,SF,64,15.3,2.2,5,0.447,1,2.8,0.372,1.2,2.2,0.543,0.552,0.5,0.6,0.846,0.4,1.1,1.5,1.3,0.8,0.2,0.6,1.4,6
MarJon Beauchamp,SF,14,14,2.4,5.4,0.434,1.1,3.4,0.34,1.2,2.1,0.586,0.539,0.9,1.4,0.684,0.5,1.8,2.3,1.1,0.6,0.3,0.9,0.9,6.8
Dalen Terry,SG,14,12.4,1.6,3.8,0.434,0.4,1.4,0.25,1.3,2.4,0.545,0.481,0.5,0.9,0.538,0.5,1.1,1.6,1.6,0.5,0.3,0.4,1.1,4.1
Eric Gordon,SG,6,12.3,2,3.5,0.571,1.3,2.3,0.571,0.7,1.2,0.571,0.762,0.2,0.3,0.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5
Jabari Walker,PF,64,11.9,1.5,3.3,0.455,0.5,1.5,0.337,1,1.8,0.551,0.531,0.8,1.1,0.735,1.1,1.9,3,0.5,0.4,0.2,0.4,1.6,4.3
Tyrese Martin,SG,9,9,1,2.4,0.409,0.2,1.4,0.154,0.8,1,0.778,0.455,0,0.2,0,0.2,0.9,1.1,1,0.3,0.2,0.8,0.3,2.2
Kyle Lowry,PG,14,8.4,0.3,1.8,0.16,0.3,1.8,0.16,0,0,,0.24,0.4,0.4,0.833,0,0.6,0.6,0.8,0.1,0.1,0.3,0.6,1.2
Johni Broome,C,11,5,0.4,2.2,0.167,0,0.5,0,0.4,1.7,0.211,0.167,0.2,0.5,0.333,0.6,0.8,1.5,0.4,0.3,0.2,0.3,0.6,0.9
Charles Bassey,C,1,5,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,1,0,0,2
Hunter Sallis,SG,7,3.7,0.4,0.7,0.6,0,0,,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0,0.1,0.1,0.6,0,0.1,0.7,0.3,1
Patrick Baldwin Jr.,SF,1,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
