Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Keon Ellis,SG,43,17.6,1.9,4.9,0.397,1.2,3.3,0.368,0.7,1.5,0.462,0.524,0.5,0.7,0.625,0.3,0.9,1.3,0.6,1.1,0.5,0.5,1.6,5.6,2.3,10.8,2.2
Malik Monk,SG,62,22,4.5,10.2,0.438,2,5.1,0.395,2.5,5.1,0.481,0.536,1.5,1.7,0.879,0.2,1.6,1.9,3,0.6,0.4,1.5,1.6,12.5,18.8,14.2,1
Daeqwon Plowden,SG,32,26.4,3.8,8.7,0.43,1.9,5.8,0.333,1.8,2.9,0.624,0.541,1.3,1.5,0.857,1,2,3,1.3,0.7,0.2,0.8,2.4,10.8,0.1,10.7,0.8
Drew Eubanks,C,42,13.1,2.2,3.7,0.596,0,0.2,0.143,2.2,3.5,0.617,0.599,0.8,1.4,0.561,0.9,2.1,3,0.5,0.4,0.6,0.7,1.4,5.2,2.3,13.6,0.6
Devin Carter,PG,38,18.4,3.2,7.7,0.414,0.8,3,0.263,2.4,4.7,0.511,0.466,1.8,2.5,0.713,0.9,2.3,3.3,2.7,0.9,0.2,1.4,1.3,8.9,4.9,13.8,0.2
Dennis Schröder,PG,40,26.4,4.3,10.6,0.408,1.4,4.2,0.343,2.9,6.4,0.449,0.475,2.7,3.3,0.82,0.6,2.5,3.1,5.3,0.8,0.2,2,1.7,12.8,14.1,12.9,1.5
DeMar DeRozan,PF,77,31.2,6.5,13.1,0.497,0.6,1.9,0.32,5.9,11.1,0.527,0.52,4.9,5.6,0.868,0.5,2.5,2.9,4.1,1,0.3,1.2,1.9,18.4,24.6,17.8,5.6
Zach LaVine,SG,39,31.4,6.7,14,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2,47.5,14.7,1.3
Nique Clifford,SG,75,25.1,3.3,7.9,0.418,1,3.1,0.333,2.3,4.9,0.471,0.482,0.9,1.3,0.722,0.9,2.9,3.8,2.4,0.9,0.3,1.5,2.1,8.6,3.1,9,-0.6
Russell Westbrook,SF,64,29,5.6,13.1,0.427,2,5.9,0.338,3.6,7.2,0.5,0.503,2,2.9,0.694,1.3,4.2,5.4,6.7,1.3,0.2,3.3,2.3,15.2,2.3,15.1,0.4
Dylan Cardwell,C,44,20.6,2.4,4.1,0.587,0,0.1,0.5,2.3,4,0.589,0.592,0.6,1.2,0.51,3.3,4.2,7.5,1.4,0.7,1.5,0.9,3.7,5.4,0.9,15.8,2.3
Precious Achiuwa,C,73,23.9,4.3,8.2,0.528,0.4,1.3,0.278,4,6.9,0.577,0.551,1.1,1.9,0.554,2.4,4.3,6.7,1.4,0.9,0.7,0.9,1.7,10.1,2.1,16.2,2.9
Maxime Raynaud,C,74,26.5,5.2,9.1,0.571,0.3,1,0.324,4.9,8.1,0.601,0.589,1.8,2.3,0.786,1.9,5.6,7.5,1.4,0.5,0.5,1.3,2.3,12.5,1.3,16,3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,54,24,4.1,8.9,0.467,1.1,3.2,0.341,3.1,5.7,0.538,0.534,1.8,2.3,0.773,1.1,2.9,4,2.5,0.8,0.5,1.4,2,11.2,9.6,13.9,1.7
