Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Jakob Poeltl,C,46,25,4.7,6.7,0.7,0,0,0,4.7,6.7,0.7,0.7,1.3,2.1,0.602,2.5,4.5,7,2,0.9,0.7,1.2,3.2,10.7,19.5,18.1,4.3
Sandro Mamukelashvili,C,80,21.9,4.1,7.9,0.523,1.4,3.7,0.389,2.7,4.2,0.642,0.614,1.5,2,0.747,1.4,3.6,4.9,1.9,0.8,0.5,0.8,1.8,11.2,2.5,18.1,6.2
Collin Murray-Boyles,PF,57,21.9,3.5,6,0.579,0.3,0.9,0.34,3.2,5.1,0.62,0.604,1.2,1.9,0.657,2.3,2.7,5,1.9,0.9,0.9,1,2.6,8.5,6.3,16.4,4
Scottie Barnes,PF,80,33.5,7.1,14,0.507,0.9,2.8,0.304,6.3,11.2,0.557,0.537,3,3.7,0.815,1.9,5.6,7.5,5.9,1.4,1.5,2.6,2.6,18.1,38.7,19.2,7.8
Jonathan Mogbo,PF,40,6.2,0.7,1.1,0.591,0,0,0,0.7,1.1,0.605,0.591,0.2,0.4,0.643,0.5,1.2,1.7,0.6,0.3,0.2,0.4,0.7,1.5,1.9,12.8,0.6
Immanuel Quickley,PG,70,31.9,5.7,12.9,0.443,2.5,6.8,0.374,3.2,6.1,0.52,0.541,2.4,3,0.821,0.5,3.5,4,5.9,1.3,0.1,1.5,2,16.4,32.5,16.6,6.5
Jamal Shead,PG,82,22.6,2.3,6.1,0.367,1,3.2,0.321,1.2,3,0.417,0.45,1.1,1.4,0.784,0.3,1.4,1.7,5.4,0.9,0.2,1.4,2,6.6,1.9,10.5,2.7
Brandon Ingram,SF,77,33.8,8,16.7,0.477,1.8,4.6,0.382,6.2,12.1,0.512,0.529,3.8,4.6,0.82,0.8,4.8,5.6,3.7,0.8,0.7,2.4,1.9,21.5,38.1,16.3,4.6
Jamison Battle,SF,61,8.5,1.2,2.4,0.51,0.6,1.4,0.412,0.6,1,0.65,0.631,0.1,0.2,0.643,0.3,1.1,1.5,0.4,0.1,0,0.3,0.7,3.1,1.9,10.6,0.9
RJ Barrett,SF,57,30.3,7,14.3,0.491,1.7,5,0.339,5.4,9.4,0.572,0.55,3.5,4.9,0.717,1,4.3,5.3,3.3,0.7,0.3,1.7,2.6,19.3,27.7,17,4
Ochai Agbaji,SG,42,15.5,1.7,4,0.424,0.3,1.5,0.185,1.4,2.5,0.571,0.459,0.6,0.7,0.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,6.4,8.9,0.9
Gradey Dick,SG,76,14,2.1,5.1,0.419,0.7,2.4,0.301,1.4,2.6,0.53,0.492,1,1.2,0.875,0.6,1.4,1.9,0.7,0.6,0.1,0.6,1.3,6,5,10.7,1.4
Ja'Kobe Walter,SG,72,20.5,2.5,5.6,0.446,1.5,3.7,0.409,1,1.9,0.519,0.582,1,1.3,0.789,0.8,1.8,2.6,1.2,1,0.2,0.5,2.3,7.5,3.6,11.8,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,65,22,3.9,7.9,0.492,1,2.8,0.353,2.9,5.1,0.568,0.56,1.6,2.1,0.755,1.1,2.9,3.9,2.6,0.8,0.4,1.1,2,10.4,14.3,14.4,3.7
