Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Kyle Filipowski,C,77,23.4,4.2,8.5,0.492,1,3,0.325,3.2,5.6,0.58,0.548,2.1,2.8,0.75,1.9,5.3,7.2,2.6,0.9,0.5,1.6,3,11.4,3,16,3.1
Jusuf Nurki?,C,41,26.4,4.4,8.7,0.503,0.6,1.7,0.352,3.8,7,0.54,0.538,1.5,2.8,0.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9,19.4,16.4,1.5
Lauri Markkanen,PF,42,34.4,9.1,19.2,0.477,2.7,7.7,0.355,6.4,11.5,0.559,0.548,5.7,6.4,0.896,2,4.9,6.9,2.1,1,0.5,1.5,1.8,26.7,46.4,21.1,3.5
Kevin Love,PF,37,16.6,2.1,5.4,0.397,1.4,3.8,0.373,0.7,1.5,0.456,0.53,1,1.2,0.841,1.5,4.3,5.8,1.8,0.4,0.2,0.8,1.5,6.7,4.2,14.7,1.1
Taylor Hendricks,PF,33,14.9,1.8,3.9,0.453,0.7,2.1,0.343,1,1.8,0.586,0.547,0.7,1,0.719,0.9,2.1,3,0.7,0.4,0.2,0.6,1.2,4.9,6.1,12.2,1.1
Walter Clayton,PG,45,18,2.3,5.7,0.398,1,3.2,0.308,1.3,2.5,0.513,0.484,1.3,1.4,0.935,0.3,1.6,2,3.2,0.5,0.3,1.3,1.7,6.8,4,10.3,0.3
Isaiah Collier,PG,59,25.7,4.3,8.7,0.495,0.5,1.7,0.27,3.9,7,0.549,0.521,2.6,3.5,0.722,0.4,2.2,2.5,7.2,1.1,0.3,2.5,2.3,11.7,2.6,14.8,1.7
Keyonte George,PG,54,33.1,7.4,16.3,0.456,2.5,6.7,0.371,5,9.6,0.515,0.532,6.2,7,0.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6,4.3,18.5,3.3
Svi Mykhailiuk,SF,50,23.1,3.5,7.2,0.478,2,4.8,0.408,1.5,2.4,0.615,0.613,0.5,0.6,0.893,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,9.4,3.7,11.4,1.1
Brice Sensabaugh,SF,75,23.5,5.3,11.4,0.46,2.2,5.9,0.367,3.1,5.5,0.559,0.554,2.2,2.7,0.826,0.7,2.3,3.1,1.9,0.7,0.2,1.7,1.9,14.9,2.7,14.4,1.1
Ace Bailey,SF,72,27.6,5.5,12.4,0.443,1.9,5.5,0.344,3.6,6.9,0.522,0.52,0.9,1.2,0.75,1.4,2.8,4.2,1.8,0.8,0.7,1.5,2.7,13.8,9.1,11.6,-0.1
Cody Williams,SG,67,24.3,3.6,7.6,0.468,0.4,2,0.214,3.1,5.6,0.556,0.495,1.3,1.8,0.706,0.9,2,3,2,0.8,0.4,1.1,1.8,8.8,5.7,9.6,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,54,24.3,4.5,9.6,0.465,1.4,4,0.351,3.1,5.6,0.547,0.536,2.2,2.7,0.802,1.1,3.4,4.5,3,0.8,0.4,1.6,2.1,12.5,9.3,14.3,1.5
