Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jamal Murray,PG,75,35.4,8.8,18.1,0.483,3.3,7.5,0.435,5.5,10.6,0.517,0.573,4.6,5.2,0.887,0.4,4,4.4,7.1,0.9,0.4,2.3,1.7,25.4
Nikola Joki?,C,65,34.8,9.9,17.4,0.569,1.7,4.5,0.38,8.2,12.9,0.636,0.618,6.1,7.4,0.831,3,9.9,12.9,10.7,1.4,0.8,3.7,2.7,27.7
Christian Braun,SG,44,31.8,4.6,8.8,0.519,1,3.3,0.301,3.6,5.6,0.646,0.575,1.8,2.3,0.782,1.4,3.4,4.8,2.7,0.7,0.3,1,2.3,12
Cameron Johnson,SF,54,30.5,4.2,8.8,0.48,2,4.7,0.43,2.2,4.1,0.539,0.596,1.7,2.1,0.839,0.8,3,3.8,2.4,0.7,0.4,0.9,2.3,12.2
Peyton Watson,SF,54,29.6,5.3,10.8,0.491,1.5,3.6,0.411,3.8,7.1,0.531,0.56,2.6,3.5,0.73,0.9,4,4.9,2.1,0.9,1.1,1.7,2.5,14.6
Aaron Gordon,PF,36,27.9,5.5,11.1,0.497,1.7,4.4,0.389,3.8,6.7,0.568,0.574,3.5,4.5,0.767,1.4,4.4,5.8,2.7,0.6,0.3,1.1,1.7,16.2
Tim Hardaway Jr.,SG,80,26.6,4.4,9.7,0.447,2.8,6.9,0.407,1.6,2.9,0.541,0.591,2,2.5,0.811,0.2,2.4,2.6,1.4,0.5,0.1,0.5,1.3,13.5
Bruce Brown,SG,82,24.4,3,6.4,0.475,0.7,1.8,0.385,2.3,4.6,0.511,0.53,1.2,1.5,0.762,1,2.8,3.9,2.1,1,0.2,1.1,2.4,7.9
Spencer Jones,SF,64,22.1,2.1,4.1,0.504,0.9,2.3,0.396,1.2,1.8,0.636,0.613,0.5,0.8,0.608,1.2,2.1,3.3,0.8,0.8,0.5,0.5,2.7,5.5
Jalen Pickett,SG,50,16.1,2,4.6,0.422,1,2.5,0.386,1,2.1,0.467,0.528,0.3,0.4,0.789,0.4,1.9,2.3,2.3,0.3,0.1,0.7,0.8,5.2
Julian Strawther,SG,57,15.1,2.6,5.6,0.467,1,2.6,0.387,1.6,3,0.538,0.558,1,1.2,0.814,0.2,1.8,2,1.1,0.4,0.1,0.6,1.3,7.2
David Roddy,PF,5,14.6,3,6,0.5,0.6,2.2,0.273,2.4,3.8,0.632,0.55,1.4,1.4,1,1.6,2.4,4,0.8,0.8,0.2,0.4,1.4,8
Jonas Valan?i?nas,C,65,13.4,3.5,6,0.582,0.1,0.4,0.308,3.4,5.6,0.602,0.592,1.6,2.1,0.772,1.6,3.4,5.1,1.2,0.2,0.6,1.1,2,8.7
Zeke Nnaji,PF,52,12,1.4,2.9,0.47,0.3,1,0.259,1.1,1.9,0.588,0.517,0.7,0.8,0.773,0.6,2,2.6,0.6,0.3,0.5,0.5,1.4,3.7
Curtis Jones,SG,10,8.8,1.1,2.7,0.407,0.6,1.8,0.333,0.5,0.9,0.556,0.519,0.1,0.2,0.5,0.2,0.9,1.1,1,0.4,0,0.2,0.6,2.9
Tyus Jones,PG,11,8.4,0.8,2.4,0.346,0.5,1.5,0.375,0.3,0.9,0.3,0.462,0,0.1,0,0.2,1.1,1.3,1.2,0.1,0,0.5,0.1,2.2
DaRon Holmes,PF,25,8.4,1.2,2.4,0.508,0.8,1.8,0.444,0.4,0.6,0.688,0.672,0.4,0.6,0.786,0.3,1.1,1.4,0.6,0,0.2,0.5,0.8,3.7
Hunter Tyson,PF,21,7.7,0.7,2.5,0.269,0.3,1.6,0.212,0.3,0.9,0.368,0.337,0.5,0.6,0.846,0.2,1.5,1.7,0.8,0.1,0,0.2,0.6,2.2
KJ Simpson,PG,6,5.7,0.5,1.7,0.3,0,0.2,0,0.5,1.5,0.333,0.3,0.2,0.3,0.5,0.7,0.7,1.3,1.3,0.2,0,0.2,0.7,1.2
