Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Anthony Edwards,SG,61,35,9.9,20.2,0.489,3.4,8.4,0.399,6.5,11.8,0.554,0.572,5.7,7.2,0.796,0.6,4.4,5,3.7,1.4,0.8,2.9,1.9,28.8
Julius Randle,PF,79,33,7.3,15.3,0.481,1.4,4.4,0.315,6,10.9,0.547,0.526,5,6.3,0.802,1.7,5.1,6.7,5,1.1,0.2,2.7,2.8,21.1
Jaden McDaniels,PF,73,31.7,5.7,11.1,0.515,1.4,3.4,0.412,4.3,7.7,0.562,0.579,2,2.4,0.835,1,3.2,4.2,2.7,1.1,1,1.8,3.3,14.8
Rudy Gobert,C,76,31.3,4.4,6.5,0.682,0,0.1,0,4.4,6.4,0.689,0.682,2.1,4,0.526,3.9,7.5,11.5,1.7,0.8,1.6,1.4,2.6,10.9
Donte DiVincenzo,SG,82,30.4,4.1,10.2,0.406,3,7.9,0.379,1.2,2.3,0.497,0.552,1,1.3,0.743,0.8,3.3,4.1,3.8,1.3,0.4,1.4,2.4,12.2
Ayo Dosunmu,SG,24,28.9,5.7,10.9,0.521,1.5,3.6,0.414,4.2,7.3,0.575,0.59,1.5,1.7,0.925,0.6,3.6,4.2,3.5,1,0.3,1.5,2.2,14.4
Naz Reid,C,77,26.1,5.2,11.3,0.456,2.1,5.8,0.362,3.1,5.5,0.556,0.549,1.2,1.6,0.732,1.2,5,6.2,2.2,1,1,1.6,2.5,13.6
Kyle Anderson,SF,19,19.1,1.8,3.9,0.473,0,0.3,0,1.8,3.6,0.507,0.473,0.9,1.2,0.773,1.1,2.6,3.7,3.3,0.8,0.6,0.8,2,4.6
Mike Conley,PG,54,18.4,1.3,4,0.335,1,3.1,0.337,0.3,0.9,0.327,0.465,0.8,0.9,0.9,0.3,1.4,1.7,2.9,0.6,0.3,0.6,1.6,4.5
Bones Hyland,PG,71,16.6,3,6.6,0.453,1.6,4.2,0.388,1.4,2.4,0.568,0.577,0.9,1.2,0.78,0.3,1.5,1.8,2.6,0.6,0.2,1,1.7,8.5
Jaylen Clark,SG,68,13.1,1.5,3.4,0.434,0.5,1.5,0.327,1,1.9,0.52,0.507,0.6,1,0.657,0.8,1,1.8,0.6,0.7,0.1,0.3,1.3,4
Terrence Shannon Jr.,SG,43,12.5,1.8,4,0.45,0.7,1.8,0.408,1.1,2.2,0.484,0.541,1.3,1.6,0.8,0.2,0.9,1.1,0.9,0.3,0,0.6,1.2,5.6
Rob Dillingham,PG,35,9.3,1.3,4,0.333,0.3,0.9,0.364,1,3.1,0.324,0.376,0.4,0.6,0.75,0.1,1,1.2,1.7,0.5,0.1,1,1,3.5
Enrique Freeman,PF,4,9.3,1,2,0.5,0.5,1,0.5,0.5,1,0.5,0.625,0.8,1,0.75,0.5,2,2.5,0.5,0.5,0.8,0.5,1.3,3.3
Zyon Pullin,SG,5,8.6,1.8,2.6,0.692,0.2,0.6,0.333,1.6,2,0.8,0.731,0.8,0.8,1,0.2,0.4,0.6,1.8,0.2,0,0.6,1.2,4.6
Joan Beringer,PF,40,7.9,1.6,2.5,0.663,0,0,,1.6,2.5,0.663,0.663,0.7,0.9,0.703,1.1,1.2,2.3,0.3,0.2,0.7,0.3,1.2,3.9
Julian Phillips,SF,13,7.2,1.1,2.5,0.424,0.3,1.2,0.25,0.8,1.3,0.588,0.485,0.7,0.9,0.75,0.1,0.3,0.4,0.2,0.4,0.1,0.3,0.8,3.2
Rocco Zikarsky,C,5,7.2,1,1.6,0.625,0,0,,1,1.6,0.625,0.625,0.8,0.8,1,0.4,2.4,2.8,0.4,0,1,0.2,0.6,2.8
Joe Ingles,SF,27,5.7,0.6,1,0.593,0.3,0.6,0.438,0.3,0.4,0.818,0.722,0.1,0.1,1,0,0.7,0.7,1.3,0.3,0.1,0.5,0.3,1.5
Leonard Miller,SF,19,5,0.9,1.7,0.545,0.1,0.6,0.083,0.9,1.1,0.81,0.561,0.4,0.6,0.636,0.4,0.9,1.3,0.3,0.2,0,0.5,0.6,2.3
Johnny Juzang,SG,21,4.2,0.8,1.8,0.421,0.3,1.1,0.25,0.5,0.7,0.714,0.5,0.2,0.4,0.625,0.2,0.6,0.8,0.3,0.1,0,0.2,0.1,2
