Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Keegan Murray,PF,23,34.5,5.5,13,0.42,1.3,4.9,0.277,4.1,8.2,0.505,0.472,1.7,2.1,0.776,1.4,4.3,5.7,1.7,1,1.6,1.2,1.8,14
Zach LaVine,SG,39,31.4,6.7,14,0.479,2.5,6.5,0.39,4.2,7.5,0.556,0.569,3.2,3.6,0.88,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,19.2
DeMar DeRozan,PF,77,31.2,6.5,13.1,0.497,0.6,1.9,0.32,5.9,11.1,0.527,0.52,4.9,5.6,0.868,0.5,2.5,2.9,4.1,1,0.3,1.2,1.9,18.4
Domantas Sabonis,C,19,29.7,6.3,11.6,0.543,0.3,1.4,0.185,6.1,10.2,0.593,0.554,2.9,4.1,0.727,3.4,8,11.4,4.1,0.9,0.2,2.7,3.5,15.8
Russell Westbrook,SF,64,29,5.6,13.1,0.427,2,5.9,0.338,3.6,7.2,0.5,0.503,2,2.9,0.694,1.3,4.2,5.4,6.7,1.3,0.2,3.3,2.3,15.2
Maxime Raynaud,C,74,26.5,5.2,9.1,0.571,0.3,1,0.324,4.9,8.1,0.601,0.589,1.8,2.3,0.786,1.9,5.6,7.5,1.4,0.5,0.5,1.3,2.3,12.5
Daeqwon Plowden,SG,32,26.4,3.8,8.7,0.43,1.9,5.8,0.333,1.8,2.9,0.624,0.541,1.3,1.5,0.857,1,2,3,1.3,0.7,0.2,0.8,2.4,10.8
Dennis Schröder,PG,40,26.4,4.3,10.6,0.408,1.4,4.2,0.343,2.9,6.4,0.449,0.475,2.7,3.3,0.82,0.6,2.5,3.1,5.3,0.8,0.2,2,1.7,12.8
De'Andre Hunter,SF,2,25.5,2,9.5,0.211,1,4.5,0.222,1,5,0.2,0.263,2.5,3,0.833,0.5,1,1.5,0.5,0,0,2,2.5,7.5
Nique Clifford,SG,75,25.1,3.3,7.9,0.418,1,3.1,0.333,2.3,4.9,0.471,0.482,0.9,1.3,0.722,0.9,2.9,3.8,2.4,0.9,0.3,1.5,2.1,8.6
Precious Achiuwa,C,73,23.9,4.3,8.2,0.528,0.4,1.3,0.278,4,6.9,0.577,0.551,1.1,1.9,0.554,2.4,4.3,6.7,1.4,0.9,0.7,0.9,1.7,10.1
Malik Monk,SG,62,22,4.5,10.2,0.438,2,5.1,0.395,2.5,5.1,0.481,0.536,1.5,1.7,0.879,0.2,1.6,1.9,3,0.6,0.4,1.5,1.6,12.5
Dylan Cardwell,C,44,20.6,2.4,4.1,0.587,0,0.1,0.5,2.3,4,0.589,0.592,0.6,1.2,0.51,3.3,4.2,7.5,1.4,0.7,1.5,0.9,3.7,5.4
DaQuan Jeffries,SG,3,20,3.7,6.3,0.579,1.3,3,0.444,2.3,3.3,0.7,0.684,1.7,1.7,1,1,0.7,1.7,0.3,0.7,0,0,3,10.3
Devin Carter,PG,38,18.4,3.2,7.7,0.414,0.8,3,0.263,2.4,4.7,0.511,0.466,1.8,2.5,0.713,0.9,2.3,3.3,2.7,0.9,0.2,1.4,1.3,8.9
Killian Hayes,PG,23,17.7,1.8,6,0.304,0.7,2.7,0.27,1.1,3.3,0.333,0.366,1.1,1.2,0.929,0.2,2.2,2.3,3.5,0.9,0.2,1.2,1.6,5.5
Keon Ellis,SG,43,17.6,1.9,4.9,0.397,1.2,3.3,0.368,0.7,1.5,0.462,0.524,0.5,0.7,0.625,0.3,0.9,1.3,0.6,1.1,0.5,0.5,1.6,5.6
Doug McDermott,SF,29,15.1,1.9,4.8,0.388,1.7,4.2,0.39,0.2,0.6,0.375,0.561,0.3,0.3,0.889,0.2,1,1.3,0.8,0.2,0.1,0.4,1,5.7
Patrick Baldwin Jr.,SF,6,14.7,1.3,3.8,0.348,0.7,1.8,0.364,0.7,2,0.333,0.435,0.5,0.8,0.6,2,1.5,3.5,0.8,0.5,0.8,0.7,2.2,3.8
Isaiah Stevens,PG,3,14.3,1,2.3,0.429,0,0.3,0,1,2,0.5,0.429,1.3,1.3,1,0.7,0.3,1,3.3,1.7,0,0.7,0.7,3.3
Drew Eubanks,C,42,13.1,2.2,3.7,0.596,0,0.2,0.143,2.2,3.5,0.617,0.599,0.8,1.4,0.561,0.9,2.1,3,0.5,0.4,0.6,0.7,1.4,5.2
Isaac Jones,PF,3,5.7,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0.3,0.7,0.5,0.7,0,0.7,0.3,0,0,0,1.3,1
