Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lauri Markkanen,PF,42,34.4,9.1,19.2,0.477,2.7,7.7,0.355,6.4,11.5,0.559,0.548,5.7,6.4,0.896,2,4.9,6.9,2.1,1,0.5,1.5,1.8,26.7
Andersson Garcia,SF,5,33.8,1.8,5.8,0.31,0.2,2.6,0.077,1.6,3.2,0.5,0.328,1.4,1.8,0.778,3.4,5,8.4,2.8,1.6,0.8,1.4,3.2,5.2
Keyonte George,PG,54,33.1,7.4,16.3,0.456,2.5,6.7,0.371,5,9.6,0.515,0.532,6.2,7,0.892,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,23.6
Bez Mbeng,SG,15,32.8,3.3,6.7,0.5,0.4,2.1,0.194,2.9,4.6,0.638,0.53,1.1,1.7,0.64,1.2,2.6,3.8,4.1,2.3,0.3,1.5,3.1,8.1
Kennedy Chandler,PG,11,32.3,5.5,12.5,0.445,1.4,3.5,0.395,4.2,9,0.465,0.5,2.5,3.9,0.651,0.5,2.8,3.4,6.7,1,0.2,2.1,2.1,15
Walker Kessler,C,5,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4,5.8,0.69,0.784,2.8,4,0.7,4.6,6.2,10.8,3,1.4,1.8,3.2,4.4,14.4
Ace Bailey,SF,72,27.6,5.5,12.4,0.443,1.9,5.5,0.344,3.6,6.9,0.522,0.52,0.9,1.2,0.75,1.4,2.8,4.2,1.8,0.8,0.7,1.5,2.7,13.8
Jusuf Nurki?,C,41,26.4,4.4,8.7,0.503,0.6,1.7,0.352,3.8,7,0.54,0.538,1.5,2.8,0.549,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,10.9
John Konchar,SG,26,26.2,2.2,4.9,0.445,0.6,2.3,0.25,1.6,2.6,0.618,0.504,0.9,1.2,0.774,2.1,3.6,5.7,3,2,1,0.8,1.9,5.9
Isaiah Collier,PG,59,25.7,4.3,8.7,0.495,0.5,1.7,0.27,3.9,7,0.549,0.521,2.6,3.5,0.722,0.4,2.2,2.5,7.2,1.1,0.3,2.5,2.3,11.7
Hayden Gray,SG,1,25,2,3,0.667,0,1,0,2,2,1,0.667,2,2,1,0,0,0,1,1,1,1,0,6
Cody Williams,SG,67,24.3,3.6,7.6,0.468,0.4,2,0.214,3.1,5.6,0.556,0.495,1.3,1.8,0.706,0.9,2,3,2,0.8,0.4,1.1,1.8,8.8
Jaren Jackson Jr.,C,3,24,8,16.3,0.49,1.7,5,0.333,6.3,11.3,0.559,0.541,4.7,5.3,0.875,0.3,4,4.3,2.7,2,0.3,2.3,3,22.3
Brice Sensabaugh,SF,75,23.5,5.3,11.4,0.46,2.2,5.9,0.367,3.1,5.5,0.559,0.554,2.2,2.7,0.826,0.7,2.3,3.1,1.9,0.7,0.2,1.7,1.9,14.9
Kyle Filipowski,C,77,23.4,4.2,8.5,0.492,1,3,0.325,3.2,5.6,0.58,0.548,2.1,2.8,0.75,1.9,5.3,7.2,2.6,0.9,0.5,1.6,3,11.4
Svi Mykhailiuk,SF,50,23.1,3.5,7.2,0.478,2,4.8,0.408,1.5,2.4,0.615,0.613,0.5,0.6,0.893,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,9.4
Elijah Harkless,SG,26,21,2.1,6.2,0.335,0.8,3.4,0.239,1.3,2.8,0.452,0.401,1.9,2.5,0.766,0.4,1.7,2,2.9,1.2,0.2,1,2,6.8
Blake Hinson,SF,14,20.4,4.2,8.2,0.513,2.6,5.6,0.468,1.6,2.6,0.611,0.674,0.9,1.1,0.75,0.8,1.6,2.4,1.1,0.4,0.1,0.4,1.7,11.9
Kyle Anderson,SF,20,20.1,2.9,5.5,0.523,0.2,0.3,0.6,2.7,5.2,0.519,0.537,1.3,1.9,0.658,1,2.4,3.3,3.1,1.2,0.5,0.9,2.3,7.1
Mo Bamba,C,2,19,2.5,4.5,0.556,0,0,,2.5,4.5,0.556,0.556,0,0,,4.5,5.5,10,0.5,0,1,1,2,5
Walter Clayton,PG,45,18,2.3,5.7,0.398,1,3.2,0.308,1.3,2.5,0.513,0.484,1.3,1.4,0.935,0.3,1.6,2,3.2,0.5,0.3,1.3,1.7,6.8
Kevin Love,PF,37,16.6,2.1,5.4,0.397,1.4,3.8,0.373,0.7,1.5,0.456,0.53,1,1.2,0.841,1.5,4.3,5.8,1.8,0.4,0.2,0.8,1.5,6.7
Oscar Tshiebwe,C,27,16.6,3.4,5.4,0.634,0,0,,3.4,5.4,0.634,0.634,1,1.8,0.551,2.9,3.8,6.6,1.2,0.6,0.2,0.8,1.4,7.8
Taylor Hendricks,PF,33,14.9,1.8,3.9,0.453,0.7,2.1,0.343,1,1.8,0.586,0.547,0.7,1,0.719,0.9,2.1,3,0.7,0.4,0.2,0.6,1.2,4.9
Vince Williams Jr.,SG,6,14,1.7,4.7,0.357,1,3,0.333,0.7,1.7,0.4,0.464,0.3,0.7,0.5,0.8,2.3,3.2,2.7,0.3,0.3,1.2,1.5,4.7
