Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Julian Reese,PF,13,30.9,4.8,9.2,0.529,0,0,,4.8,9.2,0.529,0.529,2.2,3.4,0.636,4.2,6.3,10.5,1.8,1.4,0.6,2.5,3.2,11.8
CJ McCollum,SG,35,30.9,6.9,15.1,0.454,2.7,7,0.393,4.1,8.1,0.505,0.544,2.3,2.9,0.804,0.7,2.9,3.5,3.6,0.7,0.3,1.7,2.1,18.8
Kyshawn George,SF,48,29,5.3,12,0.438,2.1,5.4,0.381,3.2,6.6,0.486,0.524,2.2,2.7,0.802,0.9,4.2,5.1,4.5,1,0.9,2.6,3.5,14.8
Leaky Black,SF,15,28.9,2.7,6.9,0.388,1.3,3.7,0.345,1.4,3.2,0.438,0.481,0.5,0.5,0.875,1,4,5,1.5,1.2,0.5,0.9,2.7,7.1
Bub Carrington,PG,82,27.7,3.8,9,0.424,2.1,5,0.408,1.8,4,0.443,0.538,1,1.4,0.73,0.4,3,3.4,4.6,0.6,0.2,2.3,2.2,10.7
Alex Sarr,C,48,27.2,6.6,13.7,0.482,1,3.1,0.333,5.5,10.5,0.526,0.52,2.1,3,0.692,2.2,5.2,7.4,2.7,0.8,2,1.7,2.2,16.3
Bilal Coulibaly,SG,56,26.2,4.1,9.7,0.425,1.2,3.6,0.319,2.9,6,0.49,0.485,2.4,3.2,0.746,0.9,3.5,4.3,2.6,1.3,1,1.4,2.3,11.7
Alondes Williams,SG,4,25.3,4,6.5,0.615,1.3,3.5,0.357,2.8,3,0.917,0.712,1.8,2,0.875,1.3,5,6.3,3,0.8,0.8,1.3,1,11
Khris Middleton,SF,34,24.3,3.8,8.8,0.433,1,2.9,0.333,2.9,5.9,0.483,0.488,1.7,2,0.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3
Tre Johnson,SG,60,24.1,4.5,10.8,0.419,1.9,5.4,0.358,2.6,5.4,0.479,0.508,1.3,1.5,0.874,0.5,2.4,2.8,2,0.6,0.3,1.6,2,12.2
Kadary Richmond,SG,3,22.3,3.3,5.3,0.625,0.7,1.3,0.5,2.7,4,0.667,0.688,1,1,1,0.3,3,3.3,2.7,2.7,0.3,0.7,0.7,8.3
Will Riley,SF,74,22.1,3.7,8.4,0.439,1.1,3.3,0.316,2.6,5,0.52,0.502,1.9,2.4,0.8,0.8,2.1,2.9,2,0.7,0.1,1.3,1.2,10.3
Trae Young,PG,5,20.8,5,8.4,0.595,1.8,4.2,0.429,3.2,4.2,0.762,0.702,3.4,4.8,0.708,0.8,2.2,3,6.2,0.6,0.2,2.6,2.6,15.2
Jamir Watkins,SG,50,20.6,2.6,5.9,0.446,0.9,3.2,0.297,1.7,2.8,0.616,0.525,1.1,1.6,0.695,1,2.9,3.9,1.3,1.1,0.5,0.8,2.6,7.4
Jaden Hardy,SG,23,20.4,4.5,10.2,0.443,2.5,6,0.42,2,4.2,0.474,0.566,1,1.5,0.686,0.2,1.5,1.7,1.3,0.3,0.2,1.5,2.2,12.6
Justin Champagnie,SF,69,20,3.4,6.7,0.502,0.8,2.4,0.319,2.6,4.3,0.605,0.56,1.2,1.5,0.784,2.1,3.5,5.6,1.2,0.9,0.6,0.7,1.7,8.7
Corey Kispert,SF,19,19.5,3.1,6.3,0.496,1.6,4,0.395,1.5,2.3,0.674,0.622,1.4,1.8,0.765,0.3,2,2.3,1.7,0.4,0.2,0.7,1.1,9.2
Marvin Bagley III,PF,38,19.2,4.1,6.5,0.626,0.2,0.5,0.421,3.8,6,0.643,0.642,1.8,2.6,0.711,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.1
Anthony Gill,PF,55,17.3,2.5,3.9,0.628,0.3,0.9,0.354,2.1,3,0.707,0.667,0.6,0.8,0.739,1.1,1.8,2.9,1.3,0.6,0.4,0.7,1.6,5.8
Sharife Cooper,PG,41,17.1,3.1,6,0.514,0.7,1.9,0.382,2.4,4.2,0.573,0.573,1.2,1.5,0.833,0.4,1.7,2.1,3,0.4,0.1,1.5,1.5,8.1
Cam Whitmore,SF,21,16.9,3.7,8,0.456,0.8,2.7,0.286,2.9,5.4,0.54,0.503,1.1,1.5,0.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,9.2
Keshon Gilbert,PG,3,16,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,1.3,1.3,1,0.7,1,1.7,1,0.7,1.3,2,1,2
Tristan Vukcevic,C,49,13.7,3.1,6.5,0.479,1,2.9,0.347,2.1,3.5,0.59,0.558,1.8,2.3,0.784,0.7,2.3,3,1.1,0.5,0.7,1.3,1.7,9
Skal Labissière,PF,3,12.7,2,3.3,0.6,0.3,1.7,0.2,1.7,1.7,1,0.65,0,0,,1,2,3,1,0.7,0.3,0.3,1,4.3
Malaki Branham,SG,28,9.8,1.5,3.3,0.473,0.5,1.3,0.378,1,1.9,0.537,0.549,1,1.2,0.824,0.4,1.1,1.6,0.8,0.4,0.1,0.5,0.8,4.6
AJ Johnson,SG,25,8.6,1.1,3.3,0.325,0.3,1,0.28,0.8,2.3,0.345,0.367,0.4,0.5,0.75,0.3,0.9,1.2,0.9,0.3,0,0.7,0.6,2.8
